"","X","Player","link_TRM","scouting_period","Age","Height","Position","Foot","Data_League","Goals.Against","Shots.on.Target.Against","Saves","Save.","Wins","Draws","Losses","Clean.Sheets","Clean.Sheet.Percentage","Penalty.Kicks.Attempted","Penalty.Kicks.Allowed","Penalty.Kicks.Saved","Penalty.Kicks.Missed","Save...Penalty.Kicks.","Goals.Against.1","Penalty.Kicks.Allowed.1","Free.Kick.Goals.Against","Corner.Kick.Goals.Against","Own.Goals.Scored.Against.Goalkeeper","PSxG","PSxG.SoT","PSxG.GA","Passes.Completed..Launched.","Passes.Attempted..Launched.","Pass.Completion.Percentage..Launched.","Passes.Attempted","Throws.Attempted","Launch.","Average.Pass.Length","Goal.Kicks","Launch...Goal.Kicks.","Avg..Length.of.Goal.Kicks","Crosses.Faced","Crosses.Stopped","Crosses.Stopped..","Def..Actions.Outside.Pen..Area","Avg..Distance.of.Def..Actions"
"144",144,"Daniel Martín","https://www.transfermarkt.com/dani-martin/profil/spieler/335221","2019-2020",22,1.87,"Goalkeeper","right","La Liga",2.03,4.41,2.37,53.8,0.17,0,0.68,0.17,20,0,0,0,0,NA,2.03,0,0,0.17,0,1.32,0.3,-0.71,6.27,12.88,48.7,26.78,5.93,36.1,33.9,6.1,52.8,45.4,9.83,0.51,5.2,0.34,13
"145",145,"Danijel Petkovic","https://www.transfermarkt.com/danijel-petkovic/profil/spieler/188930","2021-2022",30,1.96,"Goalkeeper","right","Ligue 1",1.47,4.13,2.93,67.7,0.2,0.2,0.6,0.13,13.3,0.2,0.13,0.07,0,33.3,1.47,0.13,0,0.07,0.13,1.09,0.24,-0.25,3.47,10.33,33.5,22.67,6,30.3,32.3,8,43.3,38.7,9,0.8,8.9,0.67,12.5
"146",146,"Danijel Subašic","https://www.transfermarkt.com/danijel-subasic/profil/spieler/27941","2018-2019",35,1.91,"Goalkeeper","right","Ligue 1",0.95,2.85,2.06,72.2,0.32,0.4,0.4,0.32,28.6,0.24,0.16,0.08,0,33.3,0.95,0.16,0,0.24,0,0.97,0.27,0.02,5.46,13.52,40.4,18.43,3.88,50.6,43.1,6.49,64.6,51,6.64,0.32,4.8,0.24,15
"147",147,"Danijel Subašic","https://www.transfermarkt.com/danijel-subasic/profil/spieler/27941","2017-2018",34,1.91,"Goalkeeper","right","Ligue 1",1.26,3.98,2.88,71.5,0.64,0.24,0.15,0.34,32.4,0.12,0.12,0,0,0,1.26,0.12,0.03,0.09,0.03,1.18,0.27,-0.05,3.58,10.65,33.6,15.4,2.63,50.7,42.8,4.29,66.4,53.7,10.9,0.92,8.4,0.64,15.8
"148",148,"David de Gea","https://www.transfermarkt.com/david-de-gea/profil/spieler/59377","2021-2022",32,1.89,"Goalkeeper","right","Premier League",1.38,4.76,3.48,72.5,0.48,0.28,0.24,0.24,24.1,0.17,0.07,0.1,0,60,1.38,0.07,0,0.17,0.1,1.64,0.33,0.37,3.79,10.31,36.8,15.83,3.14,38.3,35.9,8.03,52.8,43.1,7.97,0.24,3,0.21,13.6
"149",149,"David de Gea","https://www.transfermarkt.com/david-de-gea/profil/spieler/59377","2020-2021",31,1.89,"Goalkeeper","right","Premier League",1.25,3.33,2.27,67.1,0.47,0.35,0.2,0.35,34.6,0.16,0.16,0,0,0,1.25,0.16,0.04,0.2,0.08,1.18,0.31,0,3.69,8.55,43.1,16.55,3.14,35.5,33.7,6.75,39.5,34.9,7.65,0.35,4.6,0.35,14.1
"150",150,"David de Gea","https://www.transfermarkt.com/david-de-gea/profil/spieler/59377","2019-2020",30,1.89,"Goalkeeper","right","Premier League",0.95,3.29,2.42,73.6,0.47,0.32,0.21,0.34,34.2,0.08,0.08,0,0,0,0.95,0.08,0.03,0.21,0.03,0.98,0.28,0.06,3.16,8.18,38.6,17.61,3.89,33.8,34.3,6.97,32.1,33.9,7.5,0.39,5.3,0.29,13.3
"151",151,"David de Gea","https://www.transfermarkt.com/david-de-gea/profil/spieler/59377","2018-2019",29,1.89,"Goalkeeper","right","Premier League",1.42,4.47,3.29,71.8,0.5,0.24,0.26,0.18,18.4,0.16,0.16,0,0,0,1.42,0.16,0.05,0.18,0.08,1.34,0.27,0,8.47,18.16,46.7,20.29,3.87,54.5,44.7,8.79,80.8,60.2,8.18,0.55,6.8,0.26,12.2
"152",152,"David de Gea","https://www.transfermarkt.com/david-de-gea/profil/spieler/59377","2017-2018",28,1.89,"Goalkeeper","right","Premier League",0.76,3.76,3.05,80.6,0.65,0.16,0.19,0.49,48.6,0.03,0.03,0,0,0,0.76,0.03,0.03,0.14,0.05,0.93,0.24,0.23,6.95,17.84,38.9,21.46,3.84,54.5,44.2,7.89,77.7,59.1,8.14,0.51,6.3,0.35,13.3
"153",153,"David Ospina","https://www.transfermarkt.com/david-ospina/profil/spieler/73396","2021-2022",34,1.83,"Goalkeeper","right","Serie A",0.77,3.35,2.65,78.2,0.58,0.23,0.19,0.42,42.3,0.04,0.04,0,0,0,0.77,0.04,0,0.12,0.04,0.85,0.24,0.12,4.12,9.04,45.5,25.69,3.85,30.8,31.6,4.62,24.2,27.1,6.73,0.58,8.6,0.62,14.5
"154",154,"David Ospina","https://www.transfermarkt.com/david-ospina/profil/spieler/73396","2020-2021",33,1.83,"Goalkeeper","right","Serie A",0.75,2.44,1.88,76.9,0.69,0,0.31,0.5,50,0.19,0.19,0,0,0,0.75,0.19,0,0,0,0.83,0.27,0.08,4.56,9.69,47.1,30.19,3.06,29.6,31.4,3.5,21.4,25.6,7.31,0.69,9.4,0.75,15.4
"155",155,"David Ospina","https://www.transfermarkt.com/david-ospina/profil/spieler/73396","2019-2020",32,1.83,"Goalkeeper","right","Serie A",1.04,3.25,2.21,71.7,0.55,0.18,0.31,0.25,23.5,0.12,0.12,0,0,0,1.04,0.12,0.06,0.12,0,1.1,0.31,0.06,3.31,6.68,49.5,23.46,3.55,23.5,28.3,5.15,22.6,24.1,7.78,0.67,8.7,0.55,14
"156",156,"David Ospina","https://www.transfermarkt.com/david-ospina/profil/spieler/73396","2018-2019",31,1.83,"Goalkeeper","right","Serie A",1.24,3.89,2.72,69.8,0.56,0.25,0.19,0.31,31.3,0.06,0.06,0,0,0,1.24,0.06,0.06,0.19,0,1.03,0.25,-0.2,3.77,9.76,38.6,21.19,4.26,30.6,32.8,6.98,46.9,41.6,8.4,0.99,11.8,0.25,13.6
"157",157,"David Raya","https://www.transfermarkt.com/david-raya/profil/spieler/262749","2021-2022",27,1.83,"Goalkeeper","right","Premier League",1.07,4.27,3.27,76.6,0.33,0.27,0.4,0.33,33.3,0.07,0.07,0,0,0,1.07,0.07,0,0.13,0,1.15,0.26,0.09,11,26.6,41.4,36.6,4.87,55.4,43.4,8.07,78.5,56.2,10,0.8,8,1.33,15.5
"158",158,"David Soria","https://www.transfermarkt.com/david-soria/profil/spieler/226012","2021-2022",30,1.92,"Goalkeeper","right","La Liga",1.14,3.35,2.21,68,0.21,0.38,0.41,0.31,31,0.14,0.07,0.03,0.03,33.3,1.14,0.07,0,0.17,0.03,1.07,0.29,-0.04,10.23,24.09,42.5,23.33,2.14,76,52.6,7.43,85.6,58.3,9.33,1.11,11.9,0.83,14.5
"159",159,"David Soria","https://www.transfermarkt.com/david-soria/profil/spieler/226012","2020-2021",29,1.92,"Goalkeeper","right","La Liga",1.11,2.68,1.86,66.7,0.21,0.29,0.5,0.36,35.7,0.25,0.21,0.04,0,14.3,1.11,0.21,0,0.14,0.11,1.05,0.32,0.05,10.68,26.75,39.9,23.61,0.5,87.9,59.1,6.96,86.2,59.4,7.43,0.71,9.6,1.5,17
"160",160,"David Soria","https://www.transfermarkt.com/david-soria/profil/spieler/226012","2019-2020",28,1.92,"Goalkeeper","right","La Liga",0.97,2.68,1.84,68.6,0.37,0.32,0.32,0.39,39.5,0.16,0.13,0.03,0,16.7,0.97,0.13,0,0.05,0.03,1,0.33,0.06,9.71,25.97,37.4,22.92,1.08,86.3,58.8,6.82,90.7,61.4,6.89,0.79,11.5,1.29,17
"161",161,"David Soria","https://www.transfermarkt.com/david-soria/profil/spieler/226012","2018-2019",27,1.92,"Goalkeeper","right","La Liga",0.92,3.43,2.7,76.4,0.38,0.38,0.24,0.35,35.1,0.19,0.11,0.05,0.03,33.3,0.92,0.11,0.03,0.05,0.08,1.02,0.27,0.19,9.62,25.84,37.2,21.49,1.43,87.3,57.6,7.46,94.9,64.2,8.65,0.84,9.7,0.68,15.2
"162",162,"David Soria","https://www.transfermarkt.com/david-soria/profil/spieler/226012","2017-2018",26,1.92,"Goalkeeper","right","La Liga",1.35,4.06,2.92,70.2,0.5,0.28,0.28,0.36,33.3,0.21,0.14,0,0.07,0,1.35,0.14,0,0.07,0.07,1.26,0.3,-0.02,3.63,9.04,40.2,16.43,3.27,36.4,33.5,4.13,74.1,51.8,9.75,1,10.2,0.43,14.5
"163",163,"Dean Henderson","https://www.transfermarkt.com/dean-henderson/profil/spieler/258919","2020-2021",24,1.88,"Goalkeeper","right","Premier League",0.96,4,3.04,76,0.72,0.16,0.08,0.32,33.3,0,0,0,0,NA,0.96,0,0,0.32,0,0.98,0.26,0.02,3.28,8.8,37.3,17.6,4.88,35.9,35.4,7.52,33,33.5,8.4,0.72,8.6,1.12,15.3
"164",164,"Dean Henderson","https://www.transfermarkt.com/dean-henderson/profil/spieler/258919","2019-2020",23,1.88,"Goalkeeper","right","Premier League",0.92,3.58,2.69,75.2,0.39,0.31,0.31,0.36,36.1,0.08,0.03,0.03,0.03,50,0.92,0.03,0,0.06,0,1.06,0.3,0.14,7,23.69,29.5,21.58,2.75,77.7,58.7,7.17,96.5,75.7,8.08,0.64,7.9,0.47,13.8
"165",165,"Diego Benaglio","https://www.transfermarkt.com/diego-benaglio/profil/spieler/1667","2018-2019",36,1.94,"Goalkeeper","right","Ligue 1",1.66,4.11,2.63,62.8,0.18,0.26,0.53,0.18,18.2,0.22,0.13,0.09,0,40,1.66,0.13,0,0.13,0.04,1.4,0.3,-0.22,3.98,10.37,38.4,20.08,4.59,31.6,33.3,6.96,57.9,46.4,9.89,0.79,8,0.26,12.3
"166",166,"Diego López","https://www.transfermarkt.com/diego-lopez/profil/spieler/34370","2021-2022",41,1.96,"Goalkeeper","right","La Liga",1.42,4.33,3.02,69,0.3,0.34,0.37,0.26,25.9,0.07,0.07,0,0,0,1.42,0.07,0,0.15,0.07,1.27,0.28,-0.07,5.11,13.92,36.7,24.51,5.34,40.6,37.9,8.25,48,39.7,11.79,1.12,9.5,0.82,14.1
"167",167,"Diego López","https://www.transfermarkt.com/diego-lopez/profil/spieler/34370","2019-2020",39,1.96,"Goalkeeper","right","La Liga",1.62,4.26,2.81,66,0.11,0.25,0.64,0.11,11.1,0.19,0.17,0.03,0,14.3,1.62,0.17,0,0.17,0.06,1.4,0.3,-0.16,6.27,19.24,32.6,23.36,3.29,57.1,45.2,8.44,70,52,8.41,0.72,8.6,0.86,14.6
"168",168,"Diego López","https://www.transfermarkt.com/diego-lopez/profil/spieler/34370","2018-2019",38,1.96,"Goalkeeper","right","La Liga",1.32,4.11,3,71.8,0.37,0.29,0.34,0.26,26.3,0.21,0.16,0.05,0,25,1.32,0.16,0.13,0.21,0.05,1.32,0.28,0.05,6.71,15.84,42.4,23,3.39,43.2,38.4,8.66,68.1,50.3,11.89,0.79,6.6,0.16,12.5
"169",169,"Diego López","https://www.transfermarkt.com/diego-lopez/profil/spieler/34370","2017-2018",37,1.96,"Goalkeeper","right","La Liga",1.16,4,3.16,73.7,0.32,0.53,0.21,0.32,30,0.21,0.11,0.11,0,50,1.16,0.11,0,0,0.21,1.09,0.24,0.14,4.95,13.91,35.6,14.65,2.95,50.4,41.7,6.85,95.4,61.7,9.7,0.74,7.6,0.21,12.4
"170",170,"Dimitry Bertaud","https://www.transfermarkt.com/dimitry-bertaud/profil/spieler/371816","2021-2022",25,1.8,"Goalkeeper","right","Ligue 1",2.29,5.53,3.43,58.6,0.38,0.19,0.38,0.19,20,0,0,0,0,NA,2.29,0,0.19,0.19,0.19,1.94,0.35,-0.15,8.39,19.07,44,24.03,5.53,51.6,39.8,10.49,63.6,48.1,10.68,1.53,14.3,0.19,12
"171",171,"Dimitry Bertaud","https://www.transfermarkt.com/dimitry-bertaud/profil/spieler/371816","2020-2021",24,1.8,"Goalkeeper","right","Ligue 1",1.33,4.83,3.5,75,0.48,0.24,0.12,0.36,42.9,0.12,0.12,0,0,0,1.33,0.12,0,0.12,0,1.45,0.29,0.12,13.17,23.92,55.1,27.91,5.32,56.7,43.2,9.91,81.7,57.8,11.6,1.57,13.5,0.24,11.6
"172",172,"Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","2021-2022",29,1.88,"Goalkeeper","left","Premier League",0.64,2.29,1.61,73.4,0.75,0.14,0.11,0.57,57.1,0.04,0.04,0,0,0,0.64,0.04,0,0.04,0,0.59,0.24,-0.06,3.93,6.93,56.7,25.64,4.21,23.3,30,3.93,24.5,31.5,4.89,0.43,8.8,0.93,16.6
"173",173,"Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","2020-2021",28,1.88,"Goalkeeper","left","Premier League",0.78,2.33,1.75,75,0.69,0.14,0.17,0.53,52.8,0.22,0.19,0.03,0,12.5,0.78,0.19,0,0.06,0.03,0.81,0.28,0.06,3.86,8.47,45.6,25.89,4.11,24.9,31.5,4.39,46.2,43,4.97,0.39,7.8,0.64,15.7
"174",174,"Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","2019-2020",27,1.88,"Goalkeeper","left","Premier League",0.82,2.7,1.9,72.8,0.7,0.09,0.23,0.47,45.7,0.09,0.09,0,0,0,0.82,0.09,0.03,0.12,0.03,0.86,0.3,0.07,3.72,7.27,51.2,27.08,4.72,21.9,29.7,4.07,33.1,35,5.04,0.35,7,1.11,17.6
"175",175,"Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","2018-2019",26,1.88,"Goalkeeper","left","Premier League",0.61,2.08,1.58,75.9,0.84,0.05,0.11,0.53,52.6,0.11,0.11,0,0,0,0.61,0.11,0.03,0.13,0,0.74,0.32,0.13,3.84,7.55,50.9,23.92,4.53,21.7,30.1,4.92,48.1,46.9,4.84,0.5,10.3,0.82,17.3
"176",176,"Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","2017-2018",25,1.88,"Goalkeeper","left","Premier League",0.73,2.17,1.46,66.2,0.85,0.11,0.06,0.48,47.2,0.08,0,0.06,0.03,100,0.73,0,0.03,0.03,0.06,0.63,0.29,-0.05,4.31,7.94,54.3,26.51,4.39,20.4,28.8,4.51,56.3,49.8,4.54,0.51,11.2,1.35,18
"177",177,"Édgar Badía","https://www.transfermarkt.com/edgar-badia/profil/spieler/102146","2021-2022",31,1.8,"Goalkeeper","right","La Liga",1.5,4.56,3.44,75.3,0.38,0.25,0.38,0.19,18.8,0.5,0.38,0.06,0.06,14.3,1.5,0.38,0,0.31,0,1.82,0.31,0.32,8.69,19.69,44.1,26.5,4.19,49.5,39.6,8.69,75.5,52.7,10.94,0.81,7.4,0.94,15.6
"178",178,"Édgar Badía","https://www.transfermarkt.com/edgar-badia/profil/spieler/102146","2020-2021",30,1.8,"Goalkeeper","right","La Liga",1.53,4.5,3.1,69.6,0.17,0.37,0.47,0.17,16.7,0.3,0.17,0.1,0.03,37.5,1.53,0.17,0,0.17,0,1.52,0.3,-0.01,8.73,17.27,50.6,28.8,4.77,39.5,35.9,9.43,62.5,43.3,10.07,0.77,7.6,0.67,13.3
"179",179,"Edouard Mendy","https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531","2021-2022",30,1.95,"Goalkeeper","right","Premier League",0.71,2.79,2.29,82.1,0.63,0.29,0.08,0.46,45.8,0.21,0.21,0,0,0,0.71,0.21,0,0.04,0.04,0.75,0.21,0.08,3.25,7.92,41.1,23.08,3.83,26,29.3,5.29,36.2,31.5,7.88,0.75,9.5,0.63,13.8
"180",180,"Edouard Mendy","https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531","2020-2021",29,1.95,"Goalkeeper","right","Premier League",0.82,2.56,1.8,70.5,0.56,0.23,0.23,0.52,51.6,0.1,0.07,0.03,0,33.3,0.82,0.07,0.03,0.13,0.03,0.79,0.27,0,4.13,8.69,47.5,27.08,4.1,24.5,28.7,5.93,34.8,32.3,6.79,0.43,6.3,0.66,15.3
"181",181,"Edouard Mendy","https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531","2019-2020",28,1.95,"Goalkeeper","right","Ligue 1",0.79,3.08,2.46,78.4,0.54,0.21,0.25,0.38,37.5,0.17,0.13,0.04,0,25,0.79,0.13,0.04,0.17,0.04,0.83,0.23,0.08,8.67,16.88,51.4,26.25,4.04,47.1,39.4,6.75,66.7,47.6,8.21,0.83,10.2,0.67,14.2
"182",182,"Edouard Mendy","https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531","2018-2019",27,1.95,"Goalkeeper","right","Ligue 1",1.11,3.87,3,76.2,0.34,0.42,0.24,0.37,36.8,0.18,0.18,0,0,0,1.11,0.18,0.03,0.08,0.05,1.17,0.27,0.11,7.89,18.79,42,22.18,3.24,57.2,46.1,7.55,80.8,58.5,11.05,0.87,7.9,0.39,13.3
"183",183,"Eiji Kawashima","https://www.transfermarkt.com/eiji-kawashima/profil/spieler/77383","2020-2021",38,1.85,"Goalkeeper","right","Ligue 1",1.29,3.79,2.58,69.2,0.33,0.29,0.38,0.33,33.3,0.21,0.13,0.04,0.04,25,1.29,0.13,0.04,0.13,0,1.23,0.31,-0.06,8.29,17.54,47.3,21.75,3.29,53.1,42.1,8.04,74.6,56.2,8.5,0.5,5.9,0.21,11.5
"184",184,"Eiji Kawashima","https://www.transfermarkt.com/eiji-kawashima/profil/spieler/77383","2017-2018",35,1.85,"Goalkeeper","right","Ligue 1",2.1,6.03,3.96,65.1,0.18,0.25,0.6,0.07,6.9,0.07,0,0.07,0,100,2.1,0,0.04,0.35,0.04,1.91,0.32,-0.15,5.29,15.69,33.7,18.29,3.47,57.3,45.2,5.54,94.3,67.3,9.6,0.67,6.9,0.84,15.6
"185",185,"Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","2021-2022",26,1.92,"Goalkeeper","right","Serie A",1.9,4.97,3.18,62.9,0.26,0.21,0.56,0.15,15,0.05,0.05,0,0,0,1.9,0.05,0.05,0.21,0.05,1.59,0.32,-0.26,8.1,17.69,45.8,25.9,3.85,47.9,40,7.38,71.5,50.9,8.97,0.72,8,0.31,13.6
"186",186,"Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","2020-2021",25,1.92,"Goalkeeper","right","Serie A",1.46,4.46,3.16,71.5,0.38,0.19,0.43,0.16,16.2,0.24,0.19,0.05,0,22.2,1.46,0.19,0.03,0.16,0.03,1.39,0.27,-0.05,6.86,16.54,41.5,26.89,4.73,44.6,38.5,7.05,64.4,47.3,10.3,0.81,7.9,0.41,12.7
"187",187,"Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","2019-2020",24,1.92,"Goalkeeper","right","Serie A",1.67,4.44,3.06,66.9,0.33,0.14,0.53,0.25,25,0.22,0.19,0,0.03,0,1.67,0.19,0,0.31,0.11,1.47,0.29,-0.09,5.64,15.5,36.4,20.78,3.61,50.1,41.5,8.03,63.3,46.8,11.08,0.89,8,0.53,14.2
"188",188,"Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","2018-2019",23,1.92,"Goalkeeper","right","Serie A",1.42,3.94,2.72,69,0.39,0.19,0.42,0.31,30.6,0.22,0.19,0.03,0,12.5,1.42,0.19,0.06,0.17,0.03,1.44,0.32,0.05,4,11.89,33.6,23.97,5.17,32.1,31.8,8.19,51.2,41.9,10.81,0.92,8.5,0.69,15
"189",189,"Emiliano Martínez","https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","2021-2022",30,1.95,"Goalkeeper","right","Premier League",1.32,3.71,2.5,67.3,0.39,0.11,0.5,0.32,32.1,0.18,0.11,0.04,0.04,25,1.32,0.11,0.07,0.18,0.04,1.1,0.26,-0.19,5.75,13.93,41.3,23.11,3.93,44.2,38.1,7.96,46.6,40.1,7.93,0.43,5.4,0.75,14.3
"190",190,"Emiliano Martínez","https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","2020-2021",29,1.95,"Goalkeeper","right","Premier League",1.21,4.66,3.55,76.8,0.42,0.18,0.39,0.39,39.5,0.16,0.13,0.03,0,16.7,1.21,0.13,0.05,0.11,0.03,1.38,0.27,0.19,7.61,19.16,39.7,27.39,4.26,52.7,42.5,6.68,70.5,52.9,10.34,0.87,8.4,0.55,13.1
"191",191,"Emiliano Martínez","https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","2019-2020",28,1.95,"Goalkeeper","right","Premier League",1.05,4.9,3.85,81,0.58,0.12,0.23,0.35,37.5,0.12,0.12,0,0,0,1.05,0.12,0,0.35,0,1.51,0.29,0.46,4.44,13.19,33.6,27.08,5.37,34.5,35.1,7.12,54.1,47,9.34,0.58,6.3,0.35,12.3
"192",192,"Emiliano Martínez","https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","2017-2018",26,1.95,"Goalkeeper","right","La Liga",1.4,3.8,2.6,68.4,0.4,0.2,0.4,0.4,40,0.2,0.2,0,0,0,1.4,0.2,0,0.4,0,1.28,0.29,-0.12,9.4,23,40.9,18,1.6,82.2,59.6,8.2,100,73,10.2,1.4,13.7,0.6,13.9
"193",193,"Emiliano Viviano","https://www.transfermarkt.com/emiliano-viviano/profil/spieler/24316","2018-2019",34,1.95,"Goalkeeper","left","Serie A",1.48,4.84,3.54,74.4,0.41,0.18,0.41,0.24,23.5,0.24,0.24,0,0,0,1.48,0.24,0,0.18,0,1.46,0.27,-0.01,8.14,18,45.2,25.38,2.42,48.8,41.4,9.68,57.9,46.3,9.09,0.41,4.5,0.24,13.2
"194",194,"Emiliano Viviano","https://www.transfermarkt.com/emiliano-viviano/profil/spieler/24316","2017-2018",33,1.95,"Goalkeeper","left","Serie A",1.59,4.78,3.3,68.2,0.41,0.15,0.44,0.22,22.2,0.22,0.07,0.15,0,66.7,1.59,0.07,0.04,0.19,0.04,1.56,0.3,0.01,6.74,16.48,40.9,22.44,3.04,52.1,41.6,6.78,70.5,53.4,10.19,0.44,4.4,0.59,15.1
"195",195,"Erwin Zelazny","https://www.transfermarkt.com/erwin-zelazny/profil/spieler/77395","2017-2018",27,1.86,"Goalkeeper","right","Ligue 1",1.65,5.53,4,72.3,0.18,0.18,0.65,0.18,17.6,0.12,0.12,0,0,0,1.65,0.12,0,0.24,0,1.48,0.26,-0.17,6.94,20.06,34.6,23.29,2.88,55.6,44.8,7.41,96,65.4,13.18,1.41,10.7,0.53,15.2
"196",196,"Etienne Green","https://www.transfermarkt.com/etienne-green/profil/spieler/696849","2021-2022",22,1.91,"Goalkeeper","right","Ligue 1",2.03,5.04,3.23,61.2,0.15,0.38,0.6,0.08,6.7,0.08,0.08,0,0,0,2.03,0.08,0.08,0.23,0.15,1.55,0.29,-0.33,5.64,14.14,39.9,22.18,4.89,41.7,37.9,8.2,59.6,47.4,8.42,0.68,8,0.6,14.5
"197",197,"Etienne Green","https://www.transfermarkt.com/etienne-green/profil/spieler/696849","2020-2021",21,1.91,"Goalkeeper","right","Ligue 1",1,3,2.25,75,0.5,0.13,0.38,0.38,37.5,0.5,0.25,0.13,0.13,33.3,1,0.25,0.13,0,0,1.06,0.27,0.06,5.5,16.13,34.1,18.63,3.88,52.3,42.4,8.75,72.9,55.3,9.38,0.63,6.7,0.63,13.3
"198",198,"Etrit Berisha","https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","2019-2020",31,1.94,"Goalkeeper","left","Serie A",1.69,5.46,4.08,73.2,0.19,0.12,0.69,0.12,11.5,0.23,0.23,0,0,0,1.69,0.23,0.04,0.08,0.08,1.7,0.28,0.08,7.54,16.92,44.5,25,5.23,46,37.4,9,60.3,45.9,10.58,0.81,7.6,0.54,13.6
"199",199,"Etrit Berisha","https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","2018-2019",30,1.94,"Goalkeeper","left","Serie A",1.39,3.56,2.39,62.5,0.5,0.17,0.33,0.28,27.8,0.11,0.06,0,0.06,0,1.39,0.06,0.06,0.28,0.17,1.24,0.34,0.02,5,11.89,42.1,19.28,5.22,32,33.5,7.17,79.8,55.3,8,1.11,13.9,0.89,15.9
"200",200,"Etrit Berisha","https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","2017-2018",29,1.94,"Goalkeeper","left","Serie A",1.1,3.19,2.13,66.7,0.42,0.32,0.26,0.26,25.8,0.06,0.03,0.03,0,50,1.1,0.03,0.06,0.06,0,0.88,0.26,-0.22,6.32,14.13,44.7,18.94,5.03,42.9,37.8,6.9,86.9,58.9,8.03,0.45,5.6,0.48,14.3
"201",201,"Fabian Bredlow","https://www.transfermarkt.com/fabian-bredlow/profil/spieler/187624","2018-2019",24,1.9,"Goalkeeper","both","Bundesliga",2.24,4.79,2.56,53.3,0.16,0.24,0.56,0.16,16.7,0.16,0,0.08,0.08,100,2.24,0,0,0.16,0,1.5,0.3,-0.73,5.19,15.97,32.5,27.95,3.43,40.6,37,9.18,50.4,47.8,8.54,0.32,3.7,0.48,12.9
"202",202,"Fernando Pacheco","https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","2021-2022",31,1.87,"Goalkeeper","left","La Liga",1.65,3.97,2.45,61.6,0.2,0.2,0.6,0.2,20,0.2,0.12,0.08,0,40,1.65,0.12,0,0.24,0,1.5,0.34,-0.15,11.52,20.99,54.9,20.86,2.29,69.2,49.4,9.03,72.4,51.5,10.23,0.72,7.1,0.88,14.8
"203",203,"Fernando Pacheco","https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","2020-2021",30,1.87,"Goalkeeper","left","La Liga",1.53,3.82,2.31,62,0.24,0.3,0.46,0.24,24.3,0.08,0.08,0,0,0,1.53,0.08,0,0.16,0,1.48,0.38,-0.06,8.84,17.25,51.2,20.99,3.01,58.3,44.9,8.06,62.3,47.1,8.87,0.83,9.4,0.62,14.8
"204",204,"Fernando Pacheco","https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","2019-2020",29,1.87,"Goalkeeper","left","La Liga",1.41,3.51,2.33,68.5,0.27,0.27,0.5,0.23,22.2,0.42,0.31,0.11,0,27.3,1.41,0.31,0.11,0.08,0,1.29,0.3,-0.13,11.07,23.51,47.1,21.45,3.51,68.7,47.9,9.62,91.3,61,9.69,0.65,6.7,0.46,13.4
"205",205,"Fernando Pacheco","https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","2018-2019",28,1.87,"Goalkeeper","left","La Liga",1.31,4.14,3,72.4,0.31,0.31,0.37,0.23,22.9,0.17,0.17,0,0,0,1.31,0.17,0.09,0.03,0.06,1.26,0.28,0,9,21.69,41.5,21.57,2.51,67.4,47.5,8.17,87.4,58.7,10.11,0.83,8.2,0.83,15.2
"206",206,"Fernando Pacheco","https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","2017-2018",27,1.87,"Goalkeeper","left","La Liga",1.34,4.64,3.54,75.1,0.4,0.05,0.54,0.32,32.4,0.29,0.19,0.08,0.03,30,1.34,0.19,0.05,0.19,0.05,1.42,0.28,0.13,6.97,16.81,41.5,15.28,2.04,68.8,47,7,90,60.7,11.34,0.54,4.7,0.29,12.9
