longName,avg_playerankIndex,scouting_period
Kévin Malcuit,0.1845279965441643,2017-2018
Christopher Jullien,0.18702429656787636,2017-2018
El-Hadji Baye Oumar Niasse,0.19076726557767906,2017-2018
Marc-Oliver Kempf,0.1787069397051229,2017-2018
Julian Brandt,0.18814853847689694,2017-2018
Alessio Romagnoli,0.18334859885158167,2017-2018
Federico Mattiello,0.17342476429517303,2017-2018
Sokratis Papastathopoulos,0.18331718836151545,2017-2018
Sebastian Prödl,0.17681416270767272,2017-2018
Ronaldo Aparecido Rodrigues,0.19746242500755035,2017-2018
Philipp Bargfrede,0.17606170884204222,2017-2018
Zlatko Junuzović,0.172425080323142,2017-2018
Marko Arnautović,0.19585904341303034,2017-2018
Niclas Füllkrug,0.1962544880134034,2017-2018
Aaron Hunt,0.15842194444914015,2017-2018
Claudio Miguel Pizarro Bossio,0.17920888234305002,2017-2018
Holger Badstuber,0.1859186249480534,2017-2018
Jérôme Boateng,0.1846226736191314,2017-2018
Márcio Rafael Ferreira de Souza,0.1795748161259404,2017-2018
Luiz Gustavo Dias,0.1903332362079992,2017-2018
Toni Kroos,0.19001095033941434,2017-2018
David Olatukunbo Alaba,0.17641767909854028,2017-2018
Franck Bilal Ribéry,0.19189778687737383,2017-2018
Arjen Robben,0.19898580733794852,2017-2018
Mario Gómez García,0.18819304495584768,2017-2018
Thomas Müller,0.2052468594074973,2017-2018
Nils Petersen,0.18595744667533193,2017-2018
Sven Ulreich,0.22721631663762942,2017-2018
Cristian Molinaro,0.1708626208804227,2017-2018
Antonio Rüdiger,0.18270972611182523,2017-2018
Gotoku Sakai,0.1705404308777074,2017-2018
Christian Gentner,0.17668882752622128,2017-2018
Martin Harnik,0.18704566372743897,2017-2018
Vedad Ibišević,0.18496917123537923,2017-2018
Shinji Okazaki,0.1839482059916124,2017-2018
René Adler,0.16634971794337372,2017-2018
Bernd Leno,0.16493370269105972,2017-2018
Gonzalo Castro Randon,0.17006680504936636,2017-2018
Danny Vieira da Costa,0.17704610253850334,2017-2018
Bastian Oczipka,0.1561300857990615,2017-2018
Ömer Toprak,0.18561374679661413,2017-2018
Lars Bender,0.1850783294490881,2017-2018
Karim Bellarabi,0.18067441210143154,2017-2018
André Schürrle,0.18685545127401537,2017-2018
Mats Hummels,0.1834181464007023,2017-2018
Chris Löwe,0.16296946858242506,2017-2018
Łukasz Piszczek,0.18110179848728847,2017-2018
Marcel Schmelzer,0.16964265633457845,2017-2018
Neven Subotić,0.18513625566930234,2017-2018
Marvin Bakalorz,0.1757310472768121,2017-2018
Sven Bender,0.18709823630803554,2017-2018
Mario Götze,0.17981090964102717,2017-2018
İlkay Gündoğan,0.18468356970492034,2017-2018
Ivan Perišić,0.19791250176073158,2017-2018
Shinji Kagawa,0.18952736207754856,2017-2018
Robert Lewandowski,0.21653234289749304,2017-2018
Takashi Inui,0.18336192420532457,2017-2018
Christoph Kramer,0.18096959104096408,2017-2018
Kevin Vogt,0.18148839917076878,2017-2018
