ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions
Alberto GarcÃ­a,Alberto GarcÃ­a Cabrera,0.0758274034859614,500000,2018-2019,34.0,1.82,Goalkeeper,right,La Liga,2.06,4.88,3.0,59.0,0.18,0.24,0.59,0.24,23.5,0.24,0.06,0.18,0.0,75.0,0.0,0.29,0.12,1.74,0.32,-0.2,8.06,16.41,49.1,24.0,4.82,47.8,40.8,7.29,67.7,50.9,11.0,0.65,5.9,0.53,14.4
Alessio Cragno,Alessio Cragno,0.1371176237501996,20000000,2020-2021,27.0,1.84,Goalkeeper,right,Serie A,1.7249886398969092,4.711683203018503,3.328021916911342,65.92739069098828,0.1627836807184895,0.262262596713122,0.4793075043377748,0.1627836807184895,15.916626559141202,0.1356530672654079,0.1356530672654079,0.0,0.0,0.0,0.0331728584595559,0.2322100092168916,0.0,1.4650531264664062,0.262262596713122,0.0542612269061631,5.480383917522481,12.896084928031453,38.43503572519892,18.16846747574697,3.427500832905974,41.87158009592259,33.55152530364424,7.424744548326664,54.803839175224816,39.42982488514525,8.509969086449926,0.8229619414101417,8.772231683163048,0.39791566397853,11.575728406648146
Alessio Cragno,Alessio Cragno,0.1903004951984039,18000000,2019-2020,26.0,1.84,Goalkeeper,right,Serie A,1.448548152733943,4.865423345919298,3.734981118707566,69.36393506171194,0.1175659916300202,0.3436544370723668,0.4521768908846932,0.1718272185361834,17.001851097264463,0.1175659916300202,0.0542612269061631,0.0542612269061631,0.0,45.21768908846932,0.0,0.1437490533247424,0.0663457169191118,1.338443597018692,0.2351319832600404,0.2080013698069588,4.919684572825463,14.189310835961672,31.38107622739771,17.9785531815754,3.7892423456137294,46.66465513930034,36.80719891801403,8.871710599157682,50.101199510024,38.887212616083616,9.94789159946325,0.79583132795706,7.234830254155091,0.2803496723485097,10.400068490347945
Alessio Cragno,Alessio Cragno,0.1624109794922327,15250000,2018-2019,25.0,1.84,Goalkeeper,right,Serie A,1.570181967085648,4.639334900476952,3.4998491354475254,69.09262892718112,0.2351319832600404,0.262262596713122,0.4069592017962239,0.1627836807184895,16.640109584556708,0.2351319832600404,0.1899142941715711,0.0452176890884693,0.0,18.087075635387727,0.0331728584595559,0.1437490533247424,0.0552880974325932,1.3474871348363855,0.2260884454423466,0.1085224538123263,8.47379493517915,18.23177224047083,42.05245085227647,21.207096182492112,4.096722631415321,48.38292732466217,37.98285883431423,8.591360926809172,72.43873791972784,52.63339009897829,10.689461700514148,0.8048748657747539,6.8730887414473365,0.262262596713122,11.666163784825086
Alessio Cragno,Alessio Cragno,0.1149456044861883,8333333,2017-2018,24.0,1.84,Goalkeeper,right,Serie A,1.8466224542486145,3.879677723790668,2.568364740225057,59.77778497495644,0.2260884454423466,0.1627836807184895,0.5426122690616318,0.2260884454423466,21.79492614064221,0.3165238236192852,0.1899142941715711,0.063304764723857,0.0774033364056305,22.60884454423466,0.1548066728112611,0.0442304779460745,0.0442304779460745,1.3927048239248552,0.2803496723485097,-0.0904353781769386,6.827871052358868,15.26549183626724,40.42461404509157,16.866198029999055,3.942982488514525,46.21247824841565,37.16894043072178,7.596571766862846,78.95008514846744,54.44209766251706,9.143016733688496,0.7687007145039785,7.596571766862846,0.4160027396139177,12.208776053886716
Alex Cordaz,Alex Cordaz,0.1194652318085929,1000000,2017-2018,35.0,1.88,Goalkeeper,right,Serie A,1.9240257906542448,4.738813816471585,3.2828042278228726,63.12389396750317,0.2170449076246527,0.1899142941715711,0.4973945799731625,0.1175659916300202,11.9374699193559,0.1899142941715711,0.1446966050831018,0.0271306134530815,0.0331728584595559,12.932259079302227,0.0884609558921491,0.3206709651090408,0.0,1.537401429007957,0.2713061345308159,-0.0361741512707754,7.234830254155091,21.03526896395593,31.10977009286689,18.58447021536089,2.260884454423466,65.38477842192664,46.66465513930034,8.039705119929845,85.37099699903008,56.34124060423277,10.18302358272329,0.4973945799731625,4.431333530669994,0.6149605716031828,13.022694457479163
Alex McCarthy,Alex Simon McCarthy,0.095883893838277,6000000,2020-2021,32.0,1.93,Goalkeeper,right,Premier League,1.9070323403008385,4.682668359253558,2.988937250587377,63.564732195824895,0.269004352552864,0.2291518558783656,0.4981562084312296,0.2291518558783656,23.2140793128953,0.1992624833724918,0.1992624833724918,0.0,0.0,0.0,0.0301110369521185,0.1304811601258468,0.0301110369521185,1.5940998669799349,0.3088568492273623,-0.269004352552864,5.1509351951789135,17.435467295093037,29.391216297442547,29.819630636693404,4.114770281641956,45.63110869230063,36.6642969405385,5.678980776116018,66.45403820472603,47.42447104265306,7.9406099623938,0.7273080643095952,9.166074235134625,0.6675293192978476,15.044317494623131
Alex McCarthy,Alex Simon McCarthy,0.1959414454146627,4500000,2019-2020,31.0,1.93,Goalkeeper,right,Premier League,1.254626539671604,3.9155077982694646,2.7398591463717628,68.84518800519592,0.4583037117567312,0.1793362350352426,0.3586724700704853,0.2490781042156148,24.90781042156148,0.0697418691803721,0.0398524966744983,0.0398524966744983,0.0,49.81562084312296,0.0,0.1405181724432196,0.0401480492694913,1.444653004450566,0.3586724700704853,0.2291518558783656,7.043928787217586,19.78676459888844,35.46872204030355,22.705959980295443,2.6302647805168924,63.66436343751114,47.82299600939804,6.296694474570742,83.29171804970159,61.17358239535499,9.17603735930325,0.707381815972346,7.771236851527181,0.4981562084312296,14.745423769564397
Alex McCarthy,Alex Simon McCarthy,0.1216862956765221,4666666,2018-2019,30.0,1.93,Goalkeeper,right,Premier League,1.7665141678576186,4.702594607590807,3.148347237285371,64.16251964594238,0.1992624833724918,0.3188199733959869,0.4782299600939804,0.1594099866979934,15.940998669799349,0.0797049933489967,0.0797049933489967,0.0,0.0,0.0,0.0,0.1605921970779653,0.120444147808474,1.3749111352701937,0.2789674767214886,-0.2590412283842394,5.579349534429771,18.093033490222258,30.686422439363746,18.96978841706122,3.1881997339598698,61.07395115366874,48.520414701201766,7.57197436815469,84.98544915836777,63.36546971245241,9.843566678601098,0.9166074235134624,9.265705476820871,0.6774924434664723,14.745423769564397
Alex McCarthy,Alex Simon McCarthy,0.1509632712798124,2500000,2017-2018,29.0,1.93,Goalkeeper,right,Premier League,1.445329773701688,3.706282190728349,2.271592310446407,62.4687885372762,0.169373110866618,0.438377463419482,0.3885618425763591,0.219188731709741,22.11813565434659,0.0597787450117475,0.0597787450117475,0.0,0.0,0.0,0.0,0.2208142709822023,0.0,1.2055380244035756,0.3188199733959869,-0.2291518558783656,5.8085013903081375,19.756875226382565,29.2915850557563,16.937311086661808,3.048715995599125,68.3470317967647,51.409720710102896,8.638028654197521,93.85262966844364,66.75293192978476,11.347998428063413,1.0560911618742068,9.265705476820871,0.2789674767214886,12.553536452466986
Alex Meret,Alex Meret,0.1699847129805222,21666666,2020-2021,24.0,1.9,Goalkeeper,left,Serie A,1.4596057722204616,3.246630076552097,2.179492614064221,59.50647884042562,0.533568731243938,0.2080013698069588,0.1627836807184895,0.2441755210777343,24.68885824230425,0.0813918403592447,0.0813918403592447,0.0,0.0,0.0,0.0552880974325932,0.1548066728112611,0.0552880974325932,0.940527933040162,0.2532190588954282,-0.2170449076246527,2.586451815860445,4.811162119013136,48.65423345919299,21.008138350502847,3.988200177602994,16.278368071848956,24.146245973242618,3.942982488514525,23.513198326004048,25.50277664589669,6.122475102578746,0.6149605716031828,9.133973195870803,0.2441755210777343,11.756599163002024
Alex Meret,Alex Meret,0.1099626138863997,33250000,2019-2020,23.0,1.9,Goalkeeper,left,Serie A,1.6807581619508345,3.174281774010546,1.9172300173510992,57.155159007825226,0.3798285883431422,0.2080013698069588,0.2893932101662037,0.1266095294477141,12.932259079302227,0.2532190588954282,0.2080013698069588,0.0452176890884693,0.0,15.102708155548752,0.0,0.1548066728112611,0.0552880974325932,1.1575728406648147,0.262262596713122,-0.1808707563538772,2.043839546798813,5.5527322200640326,33.280219169113415,19.353170929864863,3.545066824535995,21.43318462793446,25.41234126771976,5.715515900782522,15.193143533725692,22.06623227517303,6.384737699291867,0.3346108992546729,4.70263966520081,0.2532190588954282,10.942680759409576
Alex Meret,Alex Meret,0.2330432156853196,19250000,2018-2019,22.0,1.9,Goalkeeper,left,Serie A,0.7740333640563053,3.328021916911342,2.83062733693818,76.96050682857478,0.6330476472385704,0.0723483025415509,0.2080013698069588,0.3526979748900607,34.81762059812138,0.1446966050831018,0.1446966050831018,0.0,0.0,0.0,0.0,0.0884609558921491,0.0,0.79583132795706,0.1808707563538772,0.1627836807184895,2.550277664589669,8.772231683163048,26.226259671312206,17.90620487903385,3.2556736143697917,27.130613453081597,29.21062715115118,7.144394875978153,42.95680463404585,38.16372959066811,8.066835733382927,0.4973945799731625,5.516558068793257,0.4250462774316116,13.836612861071613
Alex Meret,Alex Meret,0.2028922873090208,8000000,2017-2018,21.0,1.9,Goalkeeper,left,Serie A,1.3711448163283124,3.9339389506968314,3.1561946983751588,69.45437043988888,0.1446966050831018,0.4883510421554687,0.2803496723485097,0.2803496723485097,27.8540964784971,0.4250462774316116,0.2080013698069588,0.1446966050831018,0.0884609558921491,36.174151270775454,0.0,0.1769219117842983,0.1769219117842983,1.3655742104717734,0.2532190588954282,0.3798285883431422,6.17673632948491,16.07941023985969,34.72718521994444,17.55350690414379,1.7544463366326095,50.64381177908564,38.43503572519892,7.515179926503602,75.24223464321295,50.282070266377886,9.26962626313621,0.9133973195870804,8.862667061339987,0.2080013698069588,11.756599163002024
Ãlex Remiro,Alejandro Remiro Gargallo,0.2191149760767292,18750000,2020-2021,26.0,1.91,Goalkeeper,right,La Liga,1.0,2.63,1.74,65.0,0.45,0.29,0.26,0.37,36.8,0.13,0.08,0.03,0.03,25.0,0.0,0.13,0.03,0.85,0.3,-0.12,6.11,14.76,41.4,26.0,3.37,42.7,38.1,5.66,64.7,52.0,7.66,0.45,5.8,0.68,15.7
Ãlex Remiro,Alejandro Remiro Gargallo,0.1571324496880159,11500000,2019-2020,25.0,1.91,Goalkeeper,right,La Liga,1.28,3.48,2.48,71.3,0.44,0.16,0.4,0.24,24.0,0.32,0.28,0.04,0.0,12.5,0.08,0.12,0.0,1.14,0.25,-0.14,6.84,15.52,44.1,30.68,3.2,37.4,36.3,5.72,70.6,54.2,7.56,0.44,5.8,0.88,17.4
Alexander NÃ¼bel,Alexander NÃ¼bel,0.1342350538410457,12500000,2019-2020,24.0,1.93,Goalkeeper,right,Bundesliga,1.6751179125561146,4.125560325156212,2.859022618110513,63.699396442592544,0.288696094988358,0.3259472040191138,0.3259472040191138,0.2141938769268462,21.51251546526152,0.1490044361230235,0.1490044361230235,0.0,0.0,0.0,0.0429517413475926,0.2469725127486579,0.0859034826951853,1.3410399251072114,0.279383317730669,-0.0372511090307558,6.118494658301652,16.036602437740402,35.48168135179497,29.037239489474203,4.023119775321635,36.97172571302521,35.295425806641184,7.4967856924396195,56.24917463644137,43.86318088371504,7.748230678397221,0.3631983130498697,4.377005311113815,0.577392189976716,13.596654796225891
Alexander NÃ¼bel,Alexander NÃ¼bel,0.1055873869563315,6500000,2018-2019,23.0,1.93,Goalkeeper,right,Bundesliga,1.7610213952513,4.06037088435239,2.5889520776375328,61.65058544590097,0.2141938769268462,0.3166344267614249,0.4190749765960035,0.2141938769268462,20.674365512069507,0.2141938769268462,0.1583172133807124,0.0558766635461338,0.0,23.28194314422242,0.0,0.0,0.0,1.490044361230235,0.3073216495037359,-0.0372511090307558,6.807640175370636,15.673404124690531,40.41745329837012,20.795431616419464,3.008027054233537,44.70133083690705,38.18238675652477,7.021834052297482,75.61975133243442,53.92098032201912,7.655102905820332,0.5308283036882712,6.4258163078053885,0.2607577632152911,12.944760388187666
