ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Gen_Pos,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Abdou Diallo,Abdou-Lakhad Diallo,0.1499814845908477,25000000,2020-2021,26.0,Centre-Back,1.87,Centre-Back,left,Ligue 1,0.0,0.0513666942804776,0.0,0.0,0.0,0.2102529693857413,0.1401686462571609,0.0171222314268258,0.0171222314268258,0.0256833471402388,0.0342444628536517,0.2054667771219105,0.0,0.0,0.0,,9.417227284754231,0.0,0.0599278099938905,-0.0171222314268258,-0.0171222314268258,57.35091416415328,61.58866644229269,79.70398729187445,1066.1842287170207,384.3684121851008,24.510474287501243,25.392269205982775,82.61476663443486,25.75183606594612,26.94183115011052,81.8442662202277,6.566375752187724,8.321404473437378,67.5472029788281,0.0513666942804776,3.724085335334628,0.2568334714023881,0.1027333885609552,3.8781854181760615,57.7618477183971,3.8268187238955833,1.3440951670058314,0.0513666942804776,4.083652195297971,1.241361778444876,0.5136669428047763,0.0,0.0,0.0,0.0,52.38546705037377,5.06818050234046,4.13501888957845,49.59454332780116,7.756370836352123,0.9331616127620104,2.482723556889752,0.1541000828414329,0.1401686462571609,0.6307589081572242,1.0629455674501371,0.4905902619000632,0.3082001656828658,0.2568334714023881,0.0,0.0,0.0,0.0,0.0513666942804776,0.0513666942804776,0.0513666942804776,0.0,0.0,0.0,0.0,0.0,1.1899950841643985,0.7790615299205774,0.6763281413596222,0.410933554243821,0.1027333885609552,0.410933554243821,0.7276948356400998,48.883970723587886,0.4205059387714827,6.515009057907247,2.123156696926409,27.82362606859205,2.893657111133573,3.047757193975006,0.565033637085254,1.1899950841643985,0.410933554243821,0.0,0.7790615299205774,0.8817949184815327,2.071790002645931,2.379990168328797,0.1401686462571609,69.03683711296193,6.360908975065813,27.87499276287253,39.50954901740072,6.669109140748679,0.3595668599633434,65.36411847190779,1.0358950013229655,1.80639541553013,48.883970723587886,1.1899950841643985,0.0,50.67324390769119,242.57921373955568,146.08687853367837,3.980918806737017,1.0358950013229655,0.0,0.7709275544143851,0.2803372925143218,52.84776729889807,51.45230543761176,83.38526704864204,0.5136669428047763,0.0700843231285804,1.0629455674501371,0.5136669428047763,0.0700843231285804,0.0,0.0,0.0,7.345437282108302,1.241361778444876,0.7790615299205774,52.65086163748958
Abdou Diallo,Abdou-Lakhad Diallo,0.1557075799356608,31500000,2019-2020,25.0,Centre-Back,1.87,Centre-Back,left,Ligue 1,0.0,0.0599278099938905,0.0,0.0,0.0,0.3504216156429023,0.0,0.0513666942804776,0.0513666942804776,0.0085611157134129,0.0599278099938905,0.3167612813962787,0.128416735701194,34.244462853651754,0.0,0.0,5.393502899450152,0.0,0.1455389671280199,-0.0513666942804776,-0.0513666942804776,63.25808400640821,68.06943103734628,79.5327649776062,1269.36518794345,444.2106110218572,21.61681717636767,22.58422325198333,81.92987737736183,31.43641689965231,33.037345538060535,81.41621043455704,9.562766251882254,11.163694890290472,73.28315050681475,0.1883445456950846,5.384941783736739,0.3167612813962787,0.0599278099938905,4.623002485242988,64.92750157052373,3.1419294668225484,1.284167357011941,0.0599278099938905,7.311192819254649,0.8304282242010551,0.3852502071035822,0.0,0.0,0.0,0.0,57.29098635415939,6.095514387950012,4.682930295236877,54.46581816873312,10.324705550376004,0.7705004142071645,1.857762109810608,0.128416735701194,0.0817650436500105,1.1330298905787175,0.1752108078214511,1.1330298905787175,0.6420836785059705,0.4451780170974728,0.0599278099938905,0.0,0.128416735701194,0.0,0.0,0.0599278099938905,0.0599278099938905,0.0,0.0,0.0,0.0,0.0,1.087261695603443,0.6420836785059705,0.5136669428047763,0.5136669428047763,0.0599278099938905,0.3852502071035822,0.9588449599022492,34.244462853651754,0.7826082749358152,9.622694061876144,3.5956685996334343,31.93296161103026,4.751419220944181,4.494585749541793,0.3852502071035822,1.4125840927131348,0.3852502071035822,0.0,1.0273338856095526,0.5136669428047763,1.6009286384082198,2.568334714023882,0.0,74.99537364949734,6.095514387950012,28.48283197852485,48.883970723587886,4.682930295236877,0.5136669428047763,71.98186091837599,1.087261695603443,1.3440951670058314,69.34503727864481,1.155750621310747,0.0599278099938905,57.35091416415328,328.6013044279288,205.2356269976484,6.412275669346292,1.2156784313046374,0.0599278099938905,0.3504216156429023,0.5256324234643535,59.2172373896773,58.12141457836045,84.07015630571506,0.3852502071035822,0.0,2.009083929685973,0.3852502071035822,0.0,0.0,0.0,0.0,7.89334868776673,1.087261695603443,0.702011488499861,51.96597238041655
Abdou Diallo,Abdou-Lakhad Diallo,0.1693428335377901,31000000,2018-2019,24.0,Centre-Back,1.87,Centre-Back,left,Bundesliga,0.0372511090307558,0.0372511090307558,0.0372511090307558,0.0,0.0,0.0429517413475926,0.0429517413475926,0.0279383317730669,0.0279383317730669,0.0279383317730669,0.0558766635461338,0.2421322086999131,0.1024405498345786,39.95181443548567,0.1303788816076455,0.3073216495037359,7.822732896458733,0.0,0.1117533270922676,0.0093127772576889,0.0093127772576889,60.84037382448202,68.80279837980609,82.32495095797049,1226.6045181647291,415.2660506976088,21.55907935154996,23.393696471314687,85.86380631589229,29.558755015904783,31.747257671461693,86.70195626908429,9.163772821565944,12.367368198210947,69.00767947947524,0.3911366448229366,4.442194751917637,0.4190749765960035,0.2141938769268462,4.088309216125457,63.243070356965774,5.569040800098003,1.5459210247763686,0.0745022180615117,7.114961824874371,2.0115598876608174,0.6332688535228499,0.0,0.0,0.0,0.0,53.66022255880383,7.785481787427977,7.366406810831974,52.17949097483129,9.973984442984886,1.8718682287954824,4.013806998063945,0.1024405498345786,0.1181172887058798,1.138221145711206,1.0523176630160207,1.138221145711206,0.5308283036882712,0.4563260856267594,0.0,0.0,0.0372511090307558,0.0372511090307558,0.0,0.0745022180615117,0.0372511090307558,0.0,0.0,0.0372511090307558,0.0,0.0,1.3037888160764557,0.8102116214189402,0.8102116214189402,0.4563260856267594,0.0372511090307558,0.3166344267614249,0.7077710715843616,41.90749765960035,0.4509932841497231,8.670195626908429,2.7845204000490016,29.89401499718159,5.112714714471244,3.203595376645005,0.3538855357921808,1.6949254608993922,0.4935771946575153,0.0372511090307558,1.2013482662418768,0.9126521712535188,2.216440987329974,3.594732021467941,0.1181172887058798,78.3204567371642,6.733137957309124,31.5703149035656,43.44410590711903,8.456001749981583,0.596017744492094,72.96560981399305,1.3037888160764557,1.7973660107339706,67.51763511824501,1.406229365911034,0.0372511090307558,57.45983567994094,287.1036100772932,159.3881827653467,5.1779041552750655,1.0244054983457866,0.0745022180615117,0.6120623142031957,0.7731313442566682,57.5715890070332,55.91391465516456,90.42706717215988,0.596017744492094,0.0,1.020103857005326,0.4563260856267594,0.0429517413475926,0.0,0.0,0.0,8.875076726577586,1.229286598014944,0.6705199625536057,60.34679662982451
Abdou Diallo,Abdou-Lakhad Diallo,0.167807041245163,8625000,2017-2018,23.0,Centre-Back,1.87,Centre-Back,left,Bundesliga,0.0651894408038227,0.0372511090307558,0.0651894408038227,0.0,0.0,0.2040207714010652,0.0,0.0838149953192007,0.0838149953192007,0.0279383317730669,0.1117533270922676,0.4470133083690704,0.1024405498345786,21.51251546526152,0.1396916588653345,0.6239560762651609,6.146432990074718,0.0,0.1676299906384014,-0.0093127772576889,-0.0093127772576889,31.411997690184887,41.68399100541582,70.21834052297483,682.8780179745589,310.58112154392705,9.64803723896577,11.594407685822764,77.48230678397222,15.51508691130982,18.1506028752358,79.62424555324067,5.829798563313294,10.691068291826936,50.75463605440488,0.2048810996691573,2.7752076227913123,0.6984582943266726,0.2421322086999131,3.7809875666217208,37.9030034387941,3.7809875666217208,1.490044361230235,0.0,7.077710715843615,1.462106029457168,0.6984582943266726,0.0,0.0,0.0,0.0,23.59857757098385,5.969490222178629,12.115923212253348,31.477187130988707,4.125560325156212,2.2257537645876635,2.290943205391486,0.0651894408038227,0.2362345774117597,0.9556762449839372,0.9234624389732426,1.1596970163850024,0.90333939399583,0.7263966260997395,0.0,0.1024405498345786,0.0372511090307558,0.0,0.0372511090307558,0.1396916588653345,0.1396916588653345,0.0,0.0,0.0,0.0,0.0,2.188502655556908,1.462106029457168,1.3224143705918334,0.7636477351304953,0.1024405498345786,0.6612071852959167,1.0802821618919205,57.08732458963337,0.4832070901604177,12.115923212253348,5.000961387378976,38.46177007425543,7.599226242274198,3.7809875666217208,0.7263966260997395,1.6297360200955693,0.4842644173998263,0.0,1.145471602695743,0.8660882849650741,3.0545909405219813,3.715798125817898,0.0,51.918733211616,4.097621993383147,23.6358286800146,26.69041962053658,5.522476913809558,0.8288371759343182,48.277437303859614,1.2479121525303218,1.6669871291263252,69.84582943266726,1.3503527023649002,0.1024405498345786,30.0523322105623,171.5506698638885,97.45821400171504,3.091842049552737,0.9405905030265858,0.0372511090307558,0.6764899262245847,0.6764899262245847,29.186243925597225,27.761389005170813,88.56451172062208,0.4842644173998263,0.0,2.2764422914224123,0.3445727585344918,0.2040207714010652,0.0,0.0429517413475926,0.0,10.75625773263076,2.570326523122155,0.9685288347996528,67.51763511824501
Abdoulaye Ba,Abdoulaye Ba,0.1764532650786771,2000000,2018-2019,29.0,Centre-Back,1.97,Centre-Back,right,La Liga,0.04,0.0,0.04,0.0,0.0,0.17,0.09,0.05,0.05,0.0,0.05,0.38,0.17,44.4,0.11,0.25,8.0,0.0,0.13,0.0,0.0,36.51,44.23,82.5,837.68,292.22,9.04,10.02,90.2,18.98,20.82,91.2,8.27,12.84,64.5,0.04,1.19,0.0,0.0,1.19,42.44,1.79,1.71,0.0,5.97,1.62,0.0,0.0,0.0,0.0,0.0,31.18,4.99,8.06,5.72,34.81,2.43,0.09,0.3,0.04,1.41,0.34,0.47,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.19,1.66,0.3,0.09,0.94,1.58,59.5,0.64,8.15,2.22,27.2,5.67,2.26,0.21,1.96,0.81,0.04,1.15,1.11,3.16,7.68,0.21,57.2,9.64,37.19,21.24,1.07,0.47,55.58,0.13,0.26,50.0,0.17,0.0,32.46,157.22,66.2,0.73,0.04,0.0,0.3,0.04,32.12,31.18,97.1,0.38,0.0,0.94,0.73,0.04,0.0,0.13,0.0,10.49,2.64,0.81,76.5
Adil Rami,Adil Rami,0.1595625836988069,5000000,2018-2019,34.0,Centre-Back,1.91,Centre-Back,right,Ligue 1,0.0513666942804776,0.0513666942804776,0.0513666942804776,0.0,0.0,0.151849366778591,0.0,0.0513666942804776,0.0513666942804776,0.0085611157134129,0.0684889257073035,0.710572604213274,0.1112945042743682,13.184118198655929,0.0684889257073035,0.4280557856706469,7.362559513535127,0.0,0.0684889257073035,0.0,0.0,38.5763874046387,45.99887472816772,71.82776083553456,830.6850576724574,287.7904658220894,11.788656337369616,13.423829438631488,75.1665959637656,19.099849156624263,21.44559486209941,76.27954100650928,7.422487323529018,10.418877823223546,60.95514387950013,0.1626611985548458,2.131717812639822,0.273955702829214,0.0,2.5084069040299912,44.74895183400943,1.258484009871702,1.258484009871702,0.0,4.580196906675922,1.5838064069813935,0.0513666942804776,0.0,0.0,0.0,0.0,32.52367859525576,4.965447113779504,8.50974901913246,5.0168138080599824,36.127908310602606,3.218979508243265,0.0,0.1112945042743682,0.151849366778591,1.191433493185868,0.4438673798143429,0.8176504365001054,0.4366169013840599,0.273955702829214,0.0,0.0,0.1626611985548458,0.0,0.0,0.0513666942804776,0.0,0.0,0.0,0.0513666942804776,0.0,0.0,0.9246004970485976,0.5992780999389057,0.6506447942193834,0.273955702829214,0.0,0.3253223971096917,0.8218671084876421,34.244462853651754,0.6658010697215143,4.366169013840598,1.7464676055362396,34.244462853651754,2.5084069040299912,1.523878596987503,0.3253223971096917,1.258484009871702,0.6506447942193834,0.0513666942804776,0.5992780999389057,0.3852502071035822,1.3098507041521796,3.8781854181760615,0.151849366778591,53.58402325025159,4.965447113779504,30.66591648544515,23.466018170464867,2.234451201200777,1.3098507041521796,52.38546705037377,0.1626611985548458,0.2225890085487364,64.20836785059704,0.1626611985548458,0.0,34.43280739934684,166.76197298157064,94.6174508646398,2.0204233083654537,0.3253223971096917,0.0,0.151849366778591,0.2219336899071714,35.35740789639544,34.15885169651762,82.70037779156898,0.2225890085487364,0.0,1.2615178163144485,0.5479114056584281,0.151849366778591,0.0,0.2219336899071714,0.0,11.24074493171119,2.234451201200777,0.6506447942193834,66.26303562181616
Adil Rami,Adil Rami,0.160477377644416,6333333,2017-2018,33.0,Centre-Back,1.91,Centre-Back,right,Ligue 1,0.0256833471402388,0.0513666942804776,0.0256833471402388,0.0,0.0,0.1752108078214511,0.0,0.0428055785670647,0.0428055785670647,0.0342444628536517,0.0770500414207164,0.3681279756767563,0.0513666942804776,12.242395470180504,0.0599278099938905,0.4280557856706469,9.84528307042488,0.0,0.0941722728475423,-0.0171222314268258,-0.0171222314268258,41.27313885436378,48.75555398788669,72.5126500926076,920.6367004732872,322.12053983287524,12.285201048747568,13.791957414308245,76.19392984937515,20.264160893648427,22.190411929166338,78.16298646346013,8.526871250559289,12.045489808772006,60.61269925096361,0.1797834299816717,2.217328969773951,0.0513666942804776,0.0,1.95193438265815,47.5056310937284,1.2499228941582892,1.1985561998778114,0.0,5.162352775188002,2.47416244117634,0.0513666942804776,0.0,0.0,0.0,0.0,35.63992471493807,2.662506986871424,10.4531222860772,4.6401247166698125,38.59350963606553,4.460341286688141,0.0256833471402388,0.1797834299816717,0.1401686462571609,1.8455538423859523,0.6424396286786542,0.6774817902429444,0.5735947527986669,0.4708613642377117,0.0256833471402388,0.0,0.0770500414207164,0.0,0.0,0.1027333885609552,0.0770500414207164,0.0256833471402388,0.0,0.0,0.0,0.0,0.9160393813351844,0.5222280585181893,0.5992780999389057,0.2568334714023881,0.0513666942804776,0.2910779342560399,0.7276948356400998,33.64518475371285,0.607397467114364,4.588758022389335,1.7464676055362396,32.6178508681033,3.099123888255484,1.3012895884387667,0.1797834299816717,1.1471895055973338,0.4965447113779504,0.0,0.6506447942193834,0.8646726870547068,1.7721509526764785,2.2430123169141902,0.0700843231285804,54.73121275584892,4.879835956645375,36.29913062487086,20.12718304223382,1.7721509526764785,0.5992780999389057,53.53265655597111,0.1541000828414329,0.2054667771219105,64.20836785059704,0.1797834299816717,0.0,35.434457937816155,188.5928180507736,100.3105928140594,1.566684175554568,0.3681279756767563,0.0,0.0350421615642902,0.0700843231285804,34.860863185017486,34.364318473639536,84.41260093425157,0.1541000828414329,0.0,1.3199214189215986,0.5735947527986669,0.0350421615642902,0.0,0.0,0.0350421615642902,11.103767080296585,0.9930894227559008,0.5222280585181893,56.07530792285475
Adrian Mariappa,Adrian Joseph Mariappa,0.164828923080183,1800000,2019-2020,34.0,Centre-Back,1.79,Centre-Back,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.361332443425422,0.060222073904237,0.0199262483372491,0.0199262483372491,0.0199262483372491,0.0398524966744983,0.1793362350352426,0.0,0.0,0.0,,8.369024301644657,0.0,0.0797049933489967,-0.0199262483372491,-0.0199262483372491,25.24655664329472,34.671672106813574,72.53154394758702,501.9720849878128,223.55258009559856,9.00666424843663,10.311833514526452,87.07770523377894,12.08526961654163,16.000777414811093,75.32121871480192,3.616614073210727,7.293006891433202,49.41709587637798,0.2391149800469902,1.8929935920386725,0.1793362350352426,0.1793362350352426,2.1918873170974105,26.731062144419777,7.9406099623938,0.4184512150822328,0.0597787450117475,4.323995889183073,0.707381815972346,1.0660542860428317,0.0,0.0,0.0,0.0,14.994501873780012,7.173449401409706,12.503720831623864,2.610338532179643,21.101896989146887,2.490781042156148,7.5221587473115665,0.0,0.120444147808474,0.8932940962461822,0.361332443425422,0.5921837267249971,0.5878243259488509,0.5878243259488509,0.0,0.0,0.0,0.0,0.0,0.0597787450117475,0.0597787450117475,0.0,0.0,0.0,0.0,0.0,1.4845055011250643,0.707381815972346,1.0660542860428317,0.2988937250587377,0.1195574900234951,0.6476030709605985,2.251666062109157,28.79342884732507,1.6159589830970262,11.676781525628025,3.377499093163737,28.79342884732507,6.754998186327474,3.7959503082459696,1.1258330310545788,2.072329827073915,0.538008705105728,0.0,1.5442842461368118,0.4184512150822328,1.8929935920386725,5.5096076652494,0.060222073904237,45.16284185637527,4.981562084312296,18.730673437014232,20.324773303994167,7.173449401409706,0.2988937250587377,37.22223189398147,0.0597787450117475,0.1793362350352426,33.17720348151989,0.1195574900234951,0.0,18.670894692002484,58.31416575895974,24.35983859228713,1.0660542860428317,0.3586724700704853,0.0,0.301110369521185,0.180666221712711,20.504109539029407,19.557612743010072,95.0482045686786,0.3586724700704853,0.060222073904237,1.3750706874800782,0.4184512150822328,0.120444147808474,0.0,0.0,0.060222073904237,7.880831217382052,2.4310022971444005,1.8929935920386725,55.99275782767021
Adrian Mariappa,Adrian Joseph Mariappa,0.1767883931281454,2250000,2018-2019,33.0,Centre-Back,1.79,Centre-Back,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.1405181724432196,0.0,0.0398524966744983,0.0398524966744983,0.0398524966744983,0.0797049933489967,0.3686355942391099,0.0498156208431229,12.45390521078074,0.0,0.0,8.468655543330904,0.0,0.1195574900234951,-0.0398524966744983,-0.0398524966744983,34.52222524428421,41.45655966564693,82.99282432464285,744.5243428729784,285.2940605685652,10.610727239585191,11.537297787267278,91.56111110966,16.847642969144186,18.57126345031624,90.36553620942504,6.745035062158848,10.750210977945931,62.56841977896244,0.2291518558783656,2.142071696254287,0.1892993592038672,0.0,1.7634729778465528,40.25102164124335,1.2055380244035756,1.026201789368333,0.0,5.12104582267304,0.6974186918037214,0.0498156208431229,0.0,0.0,0.0,0.0,28.016305162172355,4.792262725108428,8.65795490253477,3.8656921774263417,33.64547031744525,2.2815554346150315,0.1892993592038672,0.0896681175176213,0.0501850615868641,0.6122577513597428,0.6524058006292341,0.3312214064733035,0.5081193325998542,0.3287830975646115,0.0498156208431229,0.0,0.1394837383607443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7236204811720544,0.7472343126468444,1.34502176276432,0.3686355942391099,0.0,0.3686355942391099,1.34502176276432,27.49822270540388,0.9836272071025376,8.329171804970159,2.56052291133652,30.586791197677496,5.908132631994382,2.1918873170974105,0.2291518558783656,1.5841367428113102,0.7472343126468444,0.0,0.8369024301644656,1.2055380244035756,2.92915850557563,6.147247612041373,0.0501850615868641,52.81452121787896,7.07381815972346,32.111149195477054,21.311122596688,1.1656855277290772,0.5579349534429772,51.60898319347538,0.0,0.0896681175176213,0.0,0.0498156208431229,0.0,29.64029440165816,112.09511002119528,57.417484583783526,0.97638616852521,0.0498156208431229,0.0,0.0903331108563555,0.1405181724432196,32.56945290723379,31.782366097912448,97.240091885776,0.1394837383607443,0.0,0.9334421455156736,0.1892993592038672,0.0501850615868641,0.0,0.0,0.0,8.239503687452537,2.7896747672148856,1.95277233705042,58.5831701115126
Adrian Mariappa,Adrian Joseph Mariappa,0.1748592599343399,1500000,2017-2018,32.0,Centre-Back,1.79,Centre-Back,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.1605921970779653,0.0,0.0298893725058737,0.0298893725058737,0.0099631241686245,0.0398524966744983,0.4084880909136082,0.0797049933489967,19.926248337249184,0.0,0.0,10.859805343800806,0.0,0.0697418691803721,-0.0298893725058737,-0.0298893725058737,31.891960463767315,40.56984161463934,78.31015596538928,647.3938453530574,267.1412483333312,11.965712126518136,13.06165578506684,91.26221738460126,14.486382541180156,17.286020432563667,83.49098053307408,5.071230201829917,9.086369241785627,55.59423286092522,0.1594099866979934,2.4310022971444005,0.1195574900234951,0.0,2.1121823237484136,37.37167875651084,3.2081259822971187,0.6077505742861001,0.0,5.1509351951789135,0.97638616852521,0.1195574900234951,0.0,0.0,0.0,0.0,24.260207350600883,5.0313777051554185,11.278256558883038,3.3276834723206137,30.02885624423452,3.128420988948122,2.6003754080110184,0.0797049933489967,0.120444147808474,0.7327018991682168,0.7327018991682168,0.8129979977071995,0.3686355942391099,0.3287830975646115,0.0,0.0,0.0,0.0,0.0398524966744983,0.0398524966744983,0.0,0.0,0.0,0.0,0.0,0.0398524966744983,2.1121823237484136,1.0560911618742068,1.5841367428113102,0.488193084262605,0.0398524966744983,0.6874555676350967,1.6638417361603068,41.34696529979205,0.9836272071025376,10.82991597129493,3.367535968995112,30.98531616442248,6.934334421362716,3.4472409623441087,0.4483405875881066,1.5442842461368118,0.6476030709605985,0.0398524966744983,0.8966811751762133,1.8631042195327987,3.975286543281213,6.774924434664722,0.0802960985389826,53.1532674396122,6.047616370355128,27.428480836223503,24.33991234394988,3.2081259822971187,0.7273080643095952,50.02484645066408,0.1594099866979934,0.2889306008901131,56.88943900284642,0.1594099866979934,0.0,25.6052291133652,107.193252930232,54.65769918907451,1.8631042195327987,0.2889306008901131,0.0398524966744983,0.1605921970779653,0.2007402463474566,29.132175069058302,27.627743319595996,94.45041711856112,0.0797049933489967,0.0,1.385107699797451,0.6874555676350967,0.0,0.0,0.0,0.0,9.086369241785627,3.935434046606714,3.128420988948122,55.49460161923898
