Player,League,Season,Gen_Pos
Joe Gomez,Premier League,2019-2020,Centre-Back
Alex Oxlade-Chamberlain,Premier League,2019-2020,Midfielder
James Milner,Premier League,2019-2020,Midfielder
Adrián,Premier League,2019-2020,Goalkeeper
Naby Keïta,Premier League,2019-2020,Midfielder
Dejan Lovren,Premier League,2019-2020,Centre-Back
Divock Origi,Premier League,2019-2020,Striker
Ederson,Premier League,2020-2021,Goalkeeper
Rúben Dias,Premier League,2020-2021,Centre-Back
Rodri,Premier League,2020-2021,Midfielder
Raheem Sterling,Premier League,2020-2021,Winger
João Cancelo,Premier League,2020-2021,Full-Back
Bernardo Silva,Premier League,2020-2021,Midfielder
İlkay Gündoğan,Premier League,2020-2021,Midfielder
Kevin De Bruyne,Premier League,2020-2021,Midfielder
Riyad Mahrez,Premier League,2020-2021,Winger
Gabriel Jesus,Premier League,2020-2021,Striker
Kyle Walker,Premier League,2020-2021,Full-Back
John Stones,Premier League,2020-2021,Centre-Back
Phil Foden,Premier League,2020-2021,Winger
Oleksandr Zinchenko,Premier League,2020-2021,Full-Back
Ferrán Torres,Premier League,2020-2021,Winger
Aymeric Laporte,Premier League,2020-2021,Centre-Back
Fernandinho,Premier League,2020-2021,Midfielder
Benjamin Mendy,Premier League,2020-2021,Full-Back
Nathan Aké,Premier League,2020-2021,Centre-Back
Sergio Agüero,Premier League,2020-2021,Striker
Marc-André ter Stegen,La Liga,2017-2018,Goalkeeper
Lionel Messi,La Liga,2017-2018,Winger
Luis Suárez,La Liga,2017-2018,Striker
Ivan Rakitić,La Liga,2017-2018,Midfielder
Jordi Alba,La Liga,2017-2018,Full-Back
Sergio Busquets,La Liga,2017-2018,Midfielder
Gerard Piqué,La Liga,2017-2018,Centre-Back
Andrés Iniesta,La Liga,2017-2018,Midfielder
Sergi Roberto,La Liga,2017-2018,Midfielder
Samuel Umtiti,La Liga,2017-2018,Centre-Back
Paulinho,La Liga,2017-2018,Midfielder
Nélson Semedo,La Liga,2017-2018,Full-Back
Philippe Coutinho,La Liga,2017-2018,Midfielder
Thomas Vermaelen,La Liga,2017-2018,Centre-Back
Ousmane Dembélé,La Liga,2017-2018,Winger
Lucas Digne,La Liga,2017-2018,Full-Back
Paco Alcácer,La Liga,2017-2018,Striker
André Gomes,La Liga,2017-2018,Midfielder
Gerard Deulofeu,La Liga,2017-2018,Winger
Denis Suárez,La Liga,2017-2018,Midfielder
Aleix Vidal,La Liga,2017-2018,Full-Back
Gerard Piqué,La Liga,2018-2019,Centre-Back
Marc-André ter Stegen,La Liga,2018-2019,Goalkeeper
Jordi Alba,La Liga,2018-2019,Full-Back
Luis Suárez,La Liga,2018-2019,Striker
Sergio Busquets,La Liga,2018-2019,Midfielder
Lionel Messi,La Liga,2018-2019,Winger
Ivan Rakitić,La Liga,2018-2019,Midfielder
Sergi Roberto,La Liga,2018-2019,Midfielder
Philippe Coutinho,La Liga,2018-2019,Midfielder
Clément Lenglet,La Liga,2018-2019,Centre-Back
Arturo Vidal,La Liga,2018-2019,Midfielder
Ousmane Dembélé,La Liga,2018-2019,Winger
Nélson Semedo,La Liga,2018-2019,Full-Back
Arthur Melo,La Liga,2018-2019,Midfielder
Samuel Umtiti,La Liga,2018-2019,Centre-Back
Malcom,La Liga,2018-2019,Winger
Munir El Haddadi,La Liga,2018-2019,Striker
Karim Benzema,La Liga,2019-2020,Striker
Casemiro,La Liga,2019-2020,Midfielder
Sergio Ramos,La Liga,2019-2020,Centre-Back
Thibaut Courtois,La Liga,2019-2020,Goalkeeper
Raphaël Varane,La Liga,2019-2020,Centre-Back
Dani Carvajal,La Liga,2019-2020,Full-Back
Toni Kroos,La Liga,2019-2020,Midfielder
Luka Modrić,La Liga,2019-2020,Midfielder
Federico Valverde,La Liga,2019-2020,Midfielder
Ferland Mendy,La Liga,2019-2020,Full-Back
Marcelo,La Liga,2019-2020,Full-Back
Isco,La Liga,2019-2020,Midfielder
Eden Hazard,La Liga,2019-2020,Winger
Vinícius Júnior,La Liga,2019-2020,Winger
Gareth Bale,La Liga,2019-2020,Winger
Rodrygo,La Liga,2019-2020,Winger
Éder Militão,La Liga,2019-2020,Centre-Back
Lucas Vázquez,La Liga,2019-2020,Winger
Jan Oblak,La Liga,2020-2021,Goalkeeper
Koke,La Liga,2020-2021,Midfielder
Marcos Llorente,La Liga,2020-2021,Midfielder
Stefan Savić,La Liga,2020-2021,Centre-Back
Mario Hermoso,La Liga,2020-2021,Centre-Back
Luis Suárez,La Liga,2020-2021,Striker
Ángel Correa,La Liga,2020-2021,Winger
Kieran Trippier,La Liga,2020-2021,Full-Back
Yannick Carrasco,La Liga,2020-2021,Winger
Felipe,La Liga,2020-2021,Centre-Back
Saúl Ñíguez,La Liga,2020-2021,Midfielder
José María Giménez,La Liga,2020-2021,Centre-Back
Thomas Lemar,La Liga,2020-2021,Midfielder
João Félix,La Liga,2020-2021,Striker
Renan Lodi,La Liga,2020-2021,Full-Back
Héctor Herrera,La Liga,2020-2021,Midfielder
Geoffrey Kondogbia,La Liga,2020-2021,Midfielder
Lucas Torreira,La Liga,2020-2021,Midfielder
Edinson Cavani,Ligue 1,2017-2018,Striker
Presnel Kimpembe,Ligue 1,2017-2018,Centre-Back
Adrien Rabiot,Ligue 1,2017-2018,Midfielder
Ángel Di María,Ligue 1,2017-2018,Winger
Marquinhos,Ligue 1,2017-2018,Centre-Back
Thiago Silva,Ligue 1,2017-2018,Centre-Back
Kylian Mbappé,Ligue 1,2017-2018,Striker
Dani Alves,Ligue 1,2017-2018,Full-Back
Neymar,Ligue 1,2017-2018,Winger
Marco Verratti,Ligue 1,2017-2018,Midfielder
Yuri Berchiche,Ligue 1,2017-2018,Full-Back
Julian Draxler,Ligue 1,2017-2018,Winger
Layvin Kurzawa,Ligue 1,2017-2018,Full-Back
Giovani Lo Celso,Ligue 1,2017-2018,Midfielder
Thomas Meunier,Ligue 1,2017-2018,Full-Back
Javier Pastore,Ligue 1,2017-2018,Midfielder
Thiago Motta,Ligue 1,2017-2018,Midfielder
Christopher Nkunku,Ligue 1,2017-2018,Midfielder
Marquinhos,Ligue 1,2018-2019,Centre-Back
Ángel Di María,Ligue 1,2018-2019,Winger
Kylian Mbappé,Ligue 1,2018-2019,Striker
Thiago Silva,Ligue 1,2018-2019,Centre-Back
Presnel Kimpembe,Ligue 1,2018-2019,Centre-Back
Marco Verratti,Ligue 1,2018-2019,Midfielder
Julian Draxler,Ligue 1,2018-2019,Winger
Juan Bernat,Ligue 1,2018-2019,Full-Back
Edinson Cavani,Ligue 1,2018-2019,Striker
Thilo Kehrer,Ligue 1,2018-2019,Centre-Back
Dani Alves,Ligue 1,2018-2019,Full-Back
Thomas Meunier,Ligue 1,2018-2019,Full-Back
Gianluigi Buffon,Ligue 1,2018-2019,Goalkeeper
Neymar,Ligue 1,2018-2019,Winger
Leandro Paredes,Ligue 1,2018-2019,Midfielder
Christopher Nkunku,Ligue 1,2018-2019,Midfielder
Adrien Rabiot,Ligue 1,2018-2019,Midfielder
Layvin Kurzawa,Ligue 1,2018-2019,Full-Back
Moussa Diaby,Ligue 1,2018-2019,Winger
Colin Dagba,Ligue 1,2018-2019,Full-Back
Eric Maxim Choupo-Moting,Ligue 1,2018-2019,Striker
Ángel Di María,Ligue 1,2019-2020,Winger
Keylor Navas,Ligue 1,2019-2020,Goalkeeper
Thiago Silva,Ligue 1,2019-2020,Centre-Back
Idrissa Gana Gueye,Ligue 1,2019-2020,Midfielder
Kylian Mbappé,Ligue 1,2019-2020,Striker
Juan Bernat,Ligue 1,2019-2020,Full-Back
Marco Verratti,Ligue 1,2019-2020,Midfielder
Marquinhos,Ligue 1,2019-2020,Centre-Back
Neymar,Ligue 1,2019-2020,Winger
Mauro Icardi,Ligue 1,2019-2020,Striker
Thomas Meunier,Ligue 1,2019-2020,Full-Back
Presnel Kimpembe,Ligue 1,2019-2020,Centre-Back
Abdou Diallo,Ligue 1,2019-2020,Centre-Back
Pablo Sarabia,Ligue 1,2019-2020,Winger
Layvin Kurzawa,Ligue 1,2019-2020,Full-Back
Leandro Paredes,Ligue 1,2019-2020,Midfielder
Julian Draxler,Ligue 1,2019-2020,Winger
Colin Dagba,Ligue 1,2019-2020,Full-Back
Edinson Cavani,Ligue 1,2019-2020,Striker
Mike Maignan,Ligue 1,2020-2021,Goalkeeper
Sven Botman,Ligue 1,2020-2021,Centre-Back
José Fonte,Ligue 1,2020-2021,Centre-Back
Benjamin André,Ligue 1,2020-2021,Midfielder
Jonathan Bamba,Ligue 1,2020-2021,Winger
Jonathan David,Ligue 1,2020-2021,Striker
Zeki Çelik,Ligue 1,2020-2021,Full-Back
Jonathan Ikone,Ligue 1,2020-2021,Striker
Reinildo Mandava,Ligue 1,2020-2021,Full-Back
Burak Yılmaz,Ligue 1,2020-2021,Striker
Boubakary Soumaré,Ligue 1,2020-2021,Midfielder
