Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions
Alberto García,Alberto García Cabrera,0.0758274034859614,500000,2018-2019,34.0,1.82,Goalkeeper,right,La Liga,2.06,4.88,3.0,59.0,0.18,0.24,0.59,0.24,23.5,0.24,0.06,0.18,0.0,75.0,0.0,0.29,0.12,1.74,0.32,-0.2,8.06,16.41,49.1,24.0,4.82,47.8,40.8,7.29,67.7,50.9,11.0,0.65,5.9,0.53,14.4
Alessio Cragno,Alessio Cragno,0.13711762375019967,20000000,2020-2021,27.0,1.84,Goalkeeper,right,Serie A,1.7249886398969092,4.711683203018503,3.328021916911342,65.92739069098828,0.16278368071848956,0.262262596713122,0.4793075043377748,0.16278368071848956,15.916626559141202,0.13565306726540796,0.13565306726540796,0.0,0.0,0.0,0.03317285845955594,0.2322100092168916,0.0,1.4650531264664062,0.262262596713122,0.05426122690616318,5.480383917522481,12.896084928031451,38.43503572519892,18.168467475746972,3.4275008329059746,41.87158009592259,33.55152530364424,7.424744548326664,54.803839175224816,39.42982488514525,8.509969086449926,0.8229619414101417,8.772231683163048,0.39791566397853,11.575728406648146
Alessio Cragno,Alessio Cragno,0.19030049519840397,18000000,2019-2020,26.0,1.84,Goalkeeper,right,Serie A,1.448548152733943,4.865423345919298,3.734981118707566,69.36393506171194,0.11756599163002024,0.3436544370723668,0.4521768908846932,0.1718272185361834,17.001851097264463,0.11756599163002024,0.05426122690616318,0.05426122690616318,0.0,45.21768908846932,0.0,0.14374905332474244,0.06634571691911188,1.3384435970186919,0.23513198326004048,0.20800136980695888,4.919684572825463,14.189310835961672,31.38107622739771,17.9785531815754,3.7892423456137294,46.66465513930034,36.80719891801403,8.871710599157682,50.101199510024,38.887212616083616,9.94789159946325,0.79583132795706,7.234830254155091,0.28034967234850977,10.400068490347945
Alessio Cragno,Alessio Cragno,0.1624109794922327,15250000,2018-2019,25.0,1.84,Goalkeeper,right,Serie A,1.570181967085648,4.639334900476952,3.4998491354475254,69.09262892718112,0.23513198326004048,0.262262596713122,0.4069592017962239,0.16278368071848956,16.640109584556708,0.23513198326004048,0.18991429417157113,0.04521768908846932,0.0,18.087075635387727,0.03317285845955594,0.14374905332474244,0.05528809743259325,1.3474871348363857,0.2260884454423466,0.10852245381232636,8.47379493517915,18.23177224047083,42.052450852276465,21.207096182492112,4.096722631415321,48.38292732466217,37.98285883431423,8.591360926809172,72.43873791972784,52.63339009897829,10.689461700514148,0.8048748657747539,6.8730887414473365,0.262262596713122,11.666163784825086
Alessio Cragno,Alessio Cragno,0.11494560448618837,8333333,2017-2018,24.0,1.84,Goalkeeper,right,Serie A,1.8466224542486143,3.879677723790668,2.568364740225057,59.77778497495644,0.2260884454423466,0.16278368071848956,0.5426122690616318,0.2260884454423466,21.794926140642215,0.3165238236192852,0.18991429417157113,0.06330476472385706,0.07740333640563055,22.60884454423466,0.1548066728112611,0.04423047794607459,0.04423047794607459,1.3927048239248552,0.28034967234850977,-0.09043537817693864,6.8278710523588675,15.265491836267241,40.42461404509157,16.866198029999055,3.942982488514525,46.21247824841565,37.16894043072178,7.596571766862846,78.95008514846744,54.442097662517064,9.143016733688496,0.7687007145039785,7.596571766862846,0.41600273961391776,12.208776053886716
Alex Cordaz,Alex Cordaz,0.0051598856698676625,450000,2020-2021,38.0,1.88,Goalkeeper,right,Serie A,2.797577730089218,5.100555329179339,2.8848885638443424,52.09077782991666,0.1537401429007957,0.07234830254155092,0.6782653363270398,0.05426122690616318,5.0643811779085635,0.12660952944771411,0.12660952944771411,0.0,0.0,0.0,0.06634571691911188,0.3096133456225222,0.06634571691911188,1.9172300173510992,0.3255673614369791,-0.3165238236192852,6.230997556391072,15.220274147178772,36.9880696743679,28.541405352641835,4.015330791056076,38.07329421249117,32.014123874636276,7.786486061034417,37.34981118707566,30.838463958336078,7.985443893023682,0.4521768908846932,5.154816556085502,0.7506136388685907,13.655742104717735
Alex Cordaz,Alex Cordaz,0.11946523180859296,1000000,2017-2018,35.0,1.88,Goalkeeper,right,Serie A,1.9240257906542448,4.738813816471585,3.2828042278228726,63.12389396750317,0.21704490762465273,0.18991429417157113,0.49739457997316255,0.11756599163002024,11.9374699193559,0.18991429417157113,0.14469660508310184,0.02713061345308159,0.03317285845955594,12.932259079302227,0.08846095589214918,0.3206709651090408,0.0,1.537401429007957,0.2713061345308159,-0.03617415127077546,7.234830254155091,21.03526896395593,31.109770092866892,18.58447021536089,2.260884454423466,65.38477842192664,46.66465513930034,8.039705119929845,85.37099699903008,56.34124060423277,10.18302358272329,0.49739457997316255,4.431333530669994,0.6149605716031828,13.022694457479165
Alex McCarthy,Alex Simon McCarthy,0.09588389383827706,6000000,2020-2021,32.0,1.93,Goalkeeper,right,Premier League,1.9070323403008382,4.682668359253558,2.9889372505873775,63.564732195824895,0.269004352552864,0.22915185587836562,0.4981562084312296,0.22915185587836562,23.2140793128953,0.19926248337249186,0.19926248337249186,0.0,0.0,0.0,0.0301110369521185,0.13048116012584685,0.0301110369521185,1.5940998669799349,0.30885684922736234,-0.269004352552864,5.1509351951789135,17.435467295093037,29.391216297442547,29.819630636693404,4.114770281641956,45.63110869230063,36.6642969405385,5.678980776116018,66.45403820472603,47.42447104265306,7.9406099623938,0.7273080643095952,9.166074235134625,0.6675293192978476,15.044317494623133
Alex McCarthy,Alex Simon McCarthy,0.19594144541466277,4500000,2019-2020,31.0,1.93,Goalkeeper,right,Premier League,1.254626539671604,3.9155077982694646,2.7398591463717628,68.84518800519592,0.45830371175673124,0.17933623503524265,0.3586724700704853,0.2490781042156148,24.90781042156148,0.06974186918037215,0.03985249667449837,0.03985249667449837,0.0,49.81562084312296,0.0,0.14051817244321968,0.04014804926949133,1.4446530044505659,0.3586724700704853,0.22915185587836562,7.043928787217586,19.78676459888844,35.46872204030355,22.705959980295443,2.6302647805168924,63.66436343751114,47.82299600939804,6.296694474570742,83.29171804970159,61.17358239535499,9.17603735930325,0.707381815972346,7.771236851527181,0.4981562084312296,14.745423769564397
Alex McCarthy,Alex Simon McCarthy,0.12168629567652212,4666666,2018-2019,30.0,1.93,Goalkeeper,right,Premier League,1.7665141678576186,4.702594607590807,3.148347237285371,64.16251964594238,0.19926248337249186,0.31881997339598694,0.4782299600939804,0.15940998669799347,15.940998669799347,0.07970499334899674,0.07970499334899674,0.0,0.0,0.0,0.0,0.16059219707796532,0.120444147808474,1.3749111352701935,0.2789674767214886,-0.2590412283842394,5.579349534429771,18.093033490222258,30.686422439363742,18.96978841706122,3.1881997339598698,61.073951153668744,48.520414701201766,7.57197436815469,84.98544915836777,63.36546971245241,9.843566678601098,0.9166074235134625,9.265705476820871,0.6774924434664723,14.745423769564397
Alex McCarthy,Alex Simon McCarthy,0.15096327127981246,2500000,2017-2018,29.0,1.93,Goalkeeper,right,Premier League,1.445329773701688,3.7062821907283485,2.271592310446407,62.4687885372762,0.16937311086661808,0.438377463419482,0.3885618425763591,0.219188731709741,22.11813565434659,0.05977874501174755,0.05977874501174755,0.0,0.0,0.0,0.0,0.22081427098220233,0.0,1.2055380244035756,0.31881997339598694,-0.22915185587836562,5.8085013903081375,19.756875226382565,29.2915850557563,16.937311086661808,3.048715995599125,68.3470317967647,51.409720710102896,8.638028654197521,93.85262966844365,66.75293192978476,11.347998428063411,1.0560911618742068,9.265705476820871,0.2789674767214886,12.553536452466986
Alex Meret,Alex Meret,0.16998471298052226,21666666,2020-2021,24.0,1.9,Goalkeeper,left,Serie A,1.4596057722204616,3.2466300765520972,2.1794926140642215,59.50647884042562,0.533568731243938,0.20800136980695888,0.16278368071848956,0.24417552107773435,24.68885824230425,0.08139184035924478,0.08139184035924478,0.0,0.0,0.0,0.05528809743259325,0.1548066728112611,0.05528809743259325,0.9405279330401619,0.25321905889542823,-0.21704490762465273,2.586451815860445,4.811162119013136,48.65423345919299,21.008138350502847,3.988200177602994,16.278368071848956,24.146245973242618,3.942982488514525,23.513198326004048,25.502776645896695,6.122475102578746,0.6149605716031828,9.133973195870803,0.24417552107773435,11.756599163002024
Alex Meret,Alex Meret,0.10996261388639975,33250000,2019-2020,23.0,1.9,Goalkeeper,left,Serie A,1.6807581619508345,3.174281774010546,1.9172300173510992,57.155159007825226,0.37982858834314226,0.20800136980695888,0.2893932101662037,0.12660952944771411,12.932259079302227,0.25321905889542823,0.20800136980695888,0.04521768908846932,0.0,15.102708155548752,0.0,0.1548066728112611,0.05528809743259325,1.1575728406648147,0.262262596713122,-0.18087075635387728,2.043839546798813,5.5527322200640326,33.280219169113415,19.353170929864866,3.545066824535995,21.43318462793446,25.41234126771976,5.715515900782522,15.193143533725692,22.06623227517303,6.384737699291867,0.33461089925467297,4.70263966520081,0.25321905889542823,10.942680759409575
Alex Meret,Alex Meret,0.23304321568531966,19250000,2018-2019,22.0,1.9,Goalkeeper,left,Serie A,0.7740333640563053,3.328021916911342,2.8306273369381794,76.96050682857478,0.6330476472385704,0.07234830254155092,0.20800136980695888,0.3526979748900607,34.81762059812138,0.14469660508310184,0.14469660508310184,0.0,0.0,0.0,0.0,0.08846095589214918,0.0,0.79583132795706,0.18087075635387728,0.16278368071848956,2.5502776645896694,8.772231683163048,26.226259671312206,17.90620487903385,3.2556736143697913,27.130613453081594,29.21062715115118,7.144394875978153,42.95680463404585,38.16372959066811,8.066835733382927,0.49739457997316255,5.516558068793257,0.4250462774316116,13.836612861071613
Alex Meret,Alex Meret,0.20289228730902084,8000000,2017-2018,21.0,1.9,Goalkeeper,left,Serie A,1.3711448163283124,3.9339389506968305,3.1561946983751588,69.45437043988888,0.14469660508310184,0.4883510421554687,0.28034967234850977,0.28034967234850977,27.8540964784971,0.4250462774316116,0.20800136980695888,0.14469660508310184,0.08846095589214918,36.174151270775454,0.0,0.17692191178429836,0.17692191178429836,1.3655742104717734,0.25321905889542823,0.37982858834314226,6.17673632948491,16.07941023985969,34.72718521994444,17.55350690414379,1.7544463366326095,50.64381177908564,38.43503572519892,7.515179926503602,75.24223464321295,50.282070266377886,9.26962626313621,0.9133973195870803,8.862667061339987,0.20800136980695888,11.756599163002024
Álex Remiro,Alejandro Remiro Gargallo,0.2191149760767292,18750000,2020-2021,26.0,1.91,Goalkeeper,right,La Liga,1.0,2.63,1.74,65.0,0.45,0.29,0.26,0.37,36.8,0.13,0.08,0.03,0.03,25.0,0.0,0.13,0.03,0.85,0.3,-0.12,6.11,14.76,41.4,26.0,3.37,42.7,38.1,5.66,64.7,52.0,7.66,0.45,5.8,0.68,15.7
Álex Remiro,Alejandro Remiro Gargallo,0.1571324496880159,11500000,2019-2020,25.0,1.91,Goalkeeper,right,La Liga,1.28,3.48,2.48,71.3,0.44,0.16,0.4,0.24,24.0,0.32,0.28,0.04,0.0,12.5,0.08,0.12,0.0,1.14,0.25,-0.14,6.84,15.52,44.1,30.68,3.2,37.4,36.3,5.72,70.6,54.2,7.56,0.44,5.8,0.88,17.4
Alexander Nübel,Alexander Nübel,0.1342350538410457,12500000,2019-2020,24.0,1.93,Goalkeeper,right,Bundesliga,1.6751179125561146,4.125560325156212,2.859022618110513,63.699396442592544,0.288696094988358,0.32594720401911387,0.32594720401911387,0.21419387692684627,21.51251546526152,0.1490044361230235,0.1490044361230235,0.0,0.0,0.0,0.04295174134759268,0.24697251274865792,0.08590348269518536,1.3410399251072114,0.27938331773066905,-0.037251109030755875,6.118494658301652,16.036602437740402,35.48168135179497,29.037239489474203,4.023119775321635,36.97172571302521,35.295425806641184,7.4967856924396195,56.24917463644137,43.86318088371504,7.7482306783972215,0.36319831304986977,4.377005311113815,0.577392189976716,13.596654796225893
Alexander Nübel,Alexander Nübel,0.1055873869563315,6500000,2018-2019,23.0,1.93,Goalkeeper,right,Bundesliga,1.7610213952512999,4.06037088435239,2.5889520776375328,61.65058544590097,0.21419387692684627,0.31663442676142495,0.41907497659600357,0.21419387692684627,20.674365512069507,0.21419387692684627,0.15831721338071247,0.055876663546133805,0.0,23.28194314422242,0.0,0.0,0.0,1.490044361230235,0.30732164950373597,-0.037251109030755875,6.8076401753706355,15.673404124690531,40.41745329837012,20.795431616419464,3.0080270542335366,44.70133083690705,38.18238675652477,7.021834052297482,75.61975133243442,53.92098032201912,7.655102905820332,0.5308283036882712,6.4258163078053885,0.26075776321529115,12.944760388187666
Alexander Schwolow,Alexander Schwolow,0.21650319252988073,6333333,2020-2021,29.0,1.9,Goalkeeper,right,Bundesliga,1.6106903005347255,3.687859794044831,2.505137082318332,63.32688535228498,0.21419387692684627,0.3538855357921808,0.3538855357921808,0.288696094988358,28.683353953682023,0.21419387692684627,0.21419387692684627,0.0,0.0,0.0,0.04295174134759268,0.12885522404277805,0.0,1.3224143705918334,0.288696094988358,-0.07450221806151175,6.23024798539392,12.860945392868466,45.166969699791494,25.032745268667945,4.404943642886882,31.290931585834933,31.942825993873157,7.841358450974111,52.710319278519556,43.118158703099915,8.167305654993225,0.5028899719152043,5.68079412719027,0.42838775385369254,12.758504843033885
Alexander Schwolow,Alexander Schwolow,0.16343109774525635,8000000,2019-2020,28.0,1.9,Goalkeeper,right,Bundesliga,1.4818350764919475,4.572573633525283,3.3246614809949615,69.47331834235969,0.36319831304986977,0.24213220869991317,0.36319831304986977,0.15831721338071247,15.552338020340576,0.12106610434995659,0.12106610434995659,0.0,0.0,0.0,0.0,0.23623457741175974,0.0,1.2479121525303218,0.24213220869991317,-0.027938331773066902,7.170838488420506,19.11913171003545,34.92291471633363,29.26074614365874,4.6098247425560395,37.71674789364032,35.388553579218076,9.983297220242575,67.7038906633988,54.29349141232668,8.57706785433154,0.5587666354613381,6.0533052174978295,0.4004494220806256,12.106610434995659
Alexander Schwolow,Alexander Schwolow,0.08115127593721592,8000000,2018-2019,27.0,1.9,Goalkeeper,right,Bundesliga,1.954304231315467,4.572573633525283,3.0452781632642925,62.67499094424675,0.19556832241146832,0.33525998127680284,0.39113664482293664,0.13969165886533452,14.15542143168723,0.19556832241146832,0.19556832241146832,0.0,0.0,0.0,0.0,0.3865656721283341,0.0,1.5366082475186795,0.27938331773066905,-0.1490044361230235,8.13005454596247,19.975907217742837,37.9030034387941,26.560040738928937,3.836864230167855,44.14256420144571,38.18238675652477,9.228962262369768,74.59534583408863,59.69490222178628,9.675975570738839,0.44701330836907044,4.377005311113815,0.5401410809459601,12.758504843033885
Alexander Schwolow,Alexander Schwolow,0.13261946094348542,5333333,2017-2018,26.0,1.9,Goalkeeper,right,Bundesliga,1.7610213952512999,4.097621993383147,2.7938331773066905,60.99869103786274,0.2328194314422242,0.31663442676142495,0.4004494220806256,0.26075776321529115,25.423881913490884,0.13969165886533452,0.11175332709226761,0.0,0.03221380601069451,0.0,0.03221380601069451,0.30066218943314876,0.12885522404277805,1.2851632615610775,0.27938331773066905,-0.13037888160764557,9.201023930596701,22.80699150408028,37.53049234848654,29.465627243327894,3.3432870355103392,48.79895283029019,39.765558890331896,8.30699731385856,82.41807873054736,61.46432990074719,9.39659225300817,0.5494538582036491,5.401410809459601,0.8660882849650741,16.949254608993922
Alexandre Letellier,Alexandre Letellier,0.14266522141385538,1333333,2017-2018,28.0,1.93,Goalkeeper,right,Ligue 1,1.5301743883073402,3.0306349625481803,2.106034465499583,57.70191990840321,0.12841673570119408,0.46230024852429874,0.2653945871158011,0.06848892570730351,6.5920590993279635,0.12841673570119408,0.12841673570119408,0.0,0.0,0.0,0.0,0.2686565719928918,0.09344576417144061,0.8989171499083586,0.23115012426214937,-0.1541000828414329,4.742858105230768,10.804128030327128,37.5832979818828,12.970090305820603,2.893657111133573,45.630746752490964,37.5832979818828,3.8867465338894744,85.61115713412939,61.72564429370728,8.758021374821437,0.5907169842254928,5.821558685120799,0.3938113228169952,14.12584092713135
Alexandre Oukidja,Alexandre Oukidja,0.20930582660308097,2833333,2020-2021,33.0,1.84,Goalkeeper,right,Ligue 1,1.3432828599644588,2.945023805414051,2.1916456226337124,63.694700907792274,0.29963904996945284,0.2482723556889752,0.29963904996945284,0.20546677712191053,20.118621926520408,0.2482723556889752,0.22258900854873642,0.025683347140238816,0.0,8.561115713412939,0.0,0.17521080782145115,0.03504216156429023,1.0187727698961397,0.23115012426214937,0.0856111571341294,6.6776702564620924,15.14461369702749,37.754520296151064,18.84301568522188,4.759980336657594,45.288302123954445,36.727186410541506,7.234142777833933,61.12636619376839,45.54513559535684,8.115937696315466,0.9588449599022493,10.102116541827268,0.9331616127620104,14.297063241399607
Alexandre Oukidja,Alexandre Oukidja,0.1891861913533664,1800000,2019-2020,32.0,1.84,Goalkeeper,right,Ligue 1,1.3666443010073188,4.100774426724798,3.2018572768164395,66.77670256462092,0.25683347140238816,0.3253223971096917,0.29107793425603995,0.25683347140238816,25.3409025117023,0.09417227284754233,0.09417227284754233,0.0,0.0,0.0,0.0,0.2686565719928918,0.0,1.130067274170508,0.22258900854873642,0.12841673570119408,7.10572604213274,20.478188786483752,29.7070715255429,21.899333994910297,3.6470352939139117,56.16091907998887,42.29191162425992,6.754720297882809,77.39248604925298,55.56164098004998,9.237443854772561,1.130067274170508,10.444561170363786,0.838989339914468,13.440951670058313
Alexandre Oukidja,Alexandre Oukidja,0.10276707110561106,700000,2017-2018,30.0,1.84,Goalkeeper,right,Ligue 1,2.0908489733359836,3.69840198819439,2.379990168328797,55.0479740372452,0.16266119855484584,0.2653945871158011,0.419494669957234,0.10273338856095526,10.701394641766173,0.2653945871158011,0.21402789283532347,0.05136669428047763,0.0,17.122231426825877,0.0,0.07008432312858046,0.0,1.4468285555667866,0.282516818542627,-0.09417227284754233,5.3935028994501515,15.332958242722574,30.135127311213548,15.812380722673698,2.3286234740483196,55.81847445145237,41.09335542438211,5.3935028994501515,79.70398729187445,57.616308751269074,8.252915547730074,0.847550455627881,8.817949184815328,0.36812797567675637,11.899950841643985
Alphonse Aréola,Alphonse Francis Aréola,0.1830738782185848,15000000,2020-2021,28.0,1.95,Goalkeeper,right,Premier League,1.334922638210587,4.314032765014448,3.1583103614539954,72.83043767264576,0.1394837383607443,0.3586724700704853,0.4981562084312296,0.2490781042156148,24.90781042156148,0.16937311086661808,0.16937311086661808,0.0,0.0,0.0,0.0,0.11040713549110116,0.0301110369521185,1.514394873630938,0.31881997339598694,0.2092256075411164,4.732483980096681,11.925859629843638,39.553602949439636,20.812966388256772,4.373811510026195,38.059134324145944,33.874622173323615,6.894481924688217,57.58685769465014,42.94106516677199,8.996701124268006,0.8867180510075887,9.7638616852521,0.5579349534429772,13.848742594388183
Alphonse Aréola,Alphonse Francis Aréola,0.19453191433577846,16666666,2018-2019,26.0,1.95,Goalkeeper,right,Ligue 1,0.9461383622358362,2.568334714023882,2.0803511183593444,67.97525876449875,0.6506447942193834,0.11985561998778116,0.0856111571341294,0.44517801709747284,44.8602463382838,0.16266119855484584,0.16266119855484584,0.0,0.0,0.0,0.0,0.058403602607150384,0.058403602607150384,0.8047448770608162,0.22258900854873642,0.1541000828414329,2.8508515325665087,5.179475006614828,47.1717475809053,15.247347085588443,3.869624302462648,19.43373266944737,24.227957468958618,5.461991825157455,26.7962921829825,30.135127311213548,7.011553769285197,0.2482723556889752,2.9963904996945288,0.5735947527986669,11.300672741705078
Alphonse Aréola,Alphonse Francis Aréola,0.19589207387806806,15000000,2017-2018,25.0,1.95,Goalkeeper,right,Ligue 1,0.8643733185858257,2.671068102584837,2.0632288869325186,66.26303562181616,0.6506447942193834,0.1541000828414329,0.05136669428047763,0.42805578567064695,42.80557856706469,0.05136669428047763,0.025683347140238816,0.025683347140238816,0.0,42.80557856706469,0.07008432312858046,0.21025296938574137,0.0,0.6506447942193834,0.1969056614084976,0.01712223142682588,1.2071173155912243,2.38855128404221,43.23363435273534,12.687573487277977,2.268695664054429,11.899950841643985,20.803511183593443,2.011862192652041,26.7962921829825,29.45023805414051,7.525220712089973,0.6078392156523187,6.848892570730351,0.7790615299205774,14.382674398533737
