Player,League,Season
Fabian Delph,Premier League,2018-2019
Phil Foden,Premier League,2018-2019
Virgil van Dijk,Premier League,2019-2020
Trent Alexander-Arnold,Premier League,2019-2020
Georginio Wijnaldum,Premier League,2019-2020
Andrew Robertson,Premier League,2019-2020
Roberto Firmino,Premier League,2019-2020
Mohamed Salah,Premier League,2019-2020
Sadio Mané,Premier League,2019-2020
Alisson,Premier League,2019-2020
Jordan Henderson,Premier League,2019-2020
Fabinho,Premier League,2019-2020
Joe Gomez,Premier League,2019-2020
Alex Oxlade-Chamberlain,Premier League,2019-2020
James Milner,Premier League,2019-2020
Adrián,Premier League,2019-2020
Naby Keïta,Premier League,2019-2020
Dejan Lovren,Premier League,2019-2020
Joël Matip,Premier League,2019-2020
Divock Origi,Premier League,2019-2020
Adam Lallana,Premier League,2019-2020
Neco Williams,Premier League,2019-2020
Takumi Minamino,Premier League,2019-2020
Xherdan Shaqiri,Premier League,2019-2020
Curtis Jones,Premier League,2019-2020
Harvey Elliott,Premier League,2019-2020
Ederson,Premier League,2020-2021
Rúben Dias,Premier League,2020-2021
Rodri,Premier League,2020-2021
Raheem Sterling,Premier League,2020-2021
João Cancelo,Premier League,2020-2021
Bernardo Silva,Premier League,2020-2021
İlkay Gündoğan,Premier League,2020-2021
Kevin De Bruyne,Premier League,2020-2021
Riyad Mahrez,Premier League,2020-2021
Gabriel Jesus,Premier League,2020-2021
Kyle Walker,Premier League,2020-2021
John Stones,Premier League,2020-2021
Phil Foden,Premier League,2020-2021
Oleksandr Zinchenko,Premier League,2020-2021
Ferrán Torres,Premier League,2020-2021
Aymeric Laporte,Premier League,2020-2021
Fernandinho,Premier League,2020-2021
Benjamin Mendy,Premier League,2020-2021
Nathan Aké,Premier League,2020-2021
Sergio Agüero,Premier League,2020-2021
Eric García,Premier League,2020-2021
Scott Carson,Premier League,2020-2021
Zack Steffen,Premier League,2020-2021
Liam Delap,Premier League,2020-2021
Marc-André ter Stegen,La Liga,2017-2018
Lionel Messi,La Liga,2017-2018
Luis Suárez,La Liga,2017-2018
Ivan Rakitić,La Liga,2017-2018
Jordi Alba,La Liga,2017-2018
Sergio Busquets,La Liga,2017-2018
Gerard Piqué,La Liga,2017-2018
Andrés Iniesta,La Liga,2017-2018
Sergi Roberto,La Liga,2017-2018
Samuel Umtiti,La Liga,2017-2018
Paulinho,La Liga,2017-2018
Nélson Semedo,La Liga,2017-2018
Philippe Coutinho,La Liga,2017-2018
Thomas Vermaelen,La Liga,2017-2018
Ousmane Dembélé,La Liga,2017-2018
Lucas Digne,La Liga,2017-2018
Paco Alcácer,La Liga,2017-2018
André Gomes,La Liga,2017-2018
Javier Mascherano,La Liga,2017-2018
Gerard Deulofeu,La Liga,2017-2018
Denis Suárez,La Liga,2017-2018
Aleix Vidal,La Liga,2017-2018
Yerry Mina,La Liga,2017-2018
Jasper Cillessen,La Liga,2017-2018
José Arnaiz,La Liga,2017-2018
Gerard Piqué,La Liga,2018-2019
Marc-André ter Stegen,La Liga,2018-2019
Jordi Alba,La Liga,2018-2019
Luis Suárez,La Liga,2018-2019
Sergio Busquets,La Liga,2018-2019
Lionel Messi,La Liga,2018-2019
Ivan Rakitić,La Liga,2018-2019
Sergi Roberto,La Liga,2018-2019
Philippe Coutinho,La Liga,2018-2019
