Player_SN,Player_LN,ratings_mean,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Fayçal Fajr,Fayçal Fajr,0.0051683157994438,2250000,2017-2018,30,1.79,Central Midfield,right,La Liga,0.04,0.15,0.04,0.0,0.04,0.26,0.0,0.06,0.04,0.11,0.15,0.04,0.79,0.34,42.9,0.05,0.11,24.1,0.11,0.0,0.04,0.06,0.04,0.05,-0.03,0.0,27.85,40.15,69.4,652.38,186.53,9.89,12.23,80.9,9.36,13.09,71.5,7.89,13.36,59.0,0.15,0.11,1.47,2.6,1.13,0.53,2.98,40.15,35.02,5.13,2.83,0.04,5.81,4.3,2.45,2.04,0.15,0.23,0.08,18.34,5.36,16.45,3.62,33.02,2.6,0.04,0.11,27.85,0.3,1.06,1.09,1.06,2.57,1.32,0.94,0.08,0.04,0.11,0.08,0.26,0.08,0.15,0.04,0.0,0.0,0.0,2.0,1.51,0.68,1.09,0.23,0.53,2.15,24.6,1.62,22.3,5.25,23.5,5.66,13.51,3.13,1.32,0.15,0.0,1.17,1.13,3.13,1.09,0.0,48.15,2.08,9.17,26.42,15.58,0.68,43.36,0.6,0.83,72.7,0.72,0.04,29.77,143.62,55.06,2.15,1.06,0.04,0.87,0.68,28.3,25.17,88.9,1.96,0.26,0.0,0.0,2.45,1.55,0.04,2.45,1.13,1.51,0.0,0.0,0.0,10.79,0.87,0.75,53.5
Federico Bernardeschi,Federico Bernardeschi,0.0046894612396452,36666666,2017-2018,25,1.83,Right Winger,left,Serie A,0.43,0.65,0.43,0.0,0.0,0.43,0.0,0.32,0.32,0.22,0.55,0.43,3.03,1.08,35.7,0.14,0.4,19.0,0.22,0.0,0.0,0.32,0.32,0.11,0.11,0.11,33.21,41.11,80.8,651.63,143.65,14.82,16.12,91.9,12.76,15.14,84.3,4.87,8.0,60.8,0.65,0.22,1.41,1.95,1.51,0.22,4.76,41.11,40.24,0.87,0.22,0.22,6.06,3.46,2.7,0.43,0.11,0.11,0.11,28.34,5.52,7.25,37.43,2.38,0.76,0.22,0.32,33.21,0.22,0.65,0.87,0.97,3.57,2.7,0.0,0.32,0.0,0.54,0.0,0.97,0.65,0.0,0.11,0.0,0.22,0.0,1.51,1.08,0.76,0.43,0.32,0.54,0.97,55.6,0.43,14.5,3.25,22.4,3.89,6.38,4.22,2.06,0.0,0.0,2.06,0.97,2.49,1.19,0.11,57.55,2.06,8.76,24.77,28.67,3.89,56.9,2.49,3.57,69.7,2.81,0.0,47.38,279.09,117.37,6.71,1.95,0.76,1.95,2.81,50.52,42.94,85.0,7.25,0.43,0.0,0.0,1.84,3.03,0.11,2.7,0.97,1.08,0.11,0.0,0.0,7.14,0.22,0.43,33.3
Federico Cartabia,Federico Nicolás Cartabia,0.0225377571772043,2000000,2017-2018,26,1.69,Right Winger,left,La Liga,0.14,0.07,0.14,0.0,0.0,0.41,0.0,0.12,0.12,0.11,0.23,0.14,2.18,0.61,28.1,0.06,0.22,23.2,0.2,0.0,0.0,0.12,0.12,0.06,0.01,0.01,30.18,40.85,73.9,540.27,143.43,14.07,17.4,80.9,12.37,16.45,75.2,3.33,5.57,59.8,0.07,0.11,1.56,2.04,1.36,0.48,2.99,40.85,38.07,2.79,0.75,0.14,9.18,1.36,2.65,0.95,0.07,0.2,0.07,26.78,6.12,7.95,29.43,7.14,2.79,1.09,0.07,30.18,0.14,1.09,1.7,1.56,3.67,2.52,0.34,0.2,0.07,0.48,0.07,0.27,0.2,0.0,0.0,0.0,0.07,0.0,2.24,1.36,0.75,1.02,0.48,0.88,2.79,31.7,1.9,22.77,5.57,24.5,6.39,10.6,5.78,1.77,0.0,0.0,1.77,0.95,3.19,0.41,0.0,55.13,0.54,7.55,26.31,25.69,3.4,52.82,2.24,3.26,68.8,2.31,0.14,40.45,266.4,145.47,8.09,2.58,1.16,1.56,2.11,47.92,37.45,78.2,7.68,0.41,0.0,0.0,1.56,3.6,0.27,2.65,0.95,1.36,0.07,0.0,0.0,7.55,0.34,1.9,15.2
Federico Ceccherini,Federico Ceccherini,0.0112254469491139,2400000,2017-2018,27,1.87,Centre-Back,right,Serie A,0.03,0.03,0.03,0.0,0.0,0.11,0.03,0.04,0.04,0.01,0.05,0.03,0.53,0.17,31.6,0.05,0.17,14.6,0.0,0.0,0.0,0.04,0.04,0.08,-0.01,-0.01,28.3,35.21,80.4,619.21,184.71,6.8,7.89,86.2,16.78,18.74,89.6,4.41,7.92,55.6,0.03,0.01,0.2,1.81,0.2,0.03,2.17,35.21,33.76,1.45,1.28,0.0,4.77,1.2,0.03,0.0,0.0,0.0,0.0,20.86,4.99,9.37,9.42,21.36,3.29,0.08,0.14,28.3,0.17,1.06,0.2,0.39,0.42,0.33,0.0,0.0,0.0,0.06,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.14,0.64,0.95,0.11,0.08,0.25,0.67,37.5,0.42,7.44,2.43,32.6,5.35,1.87,0.22,1.67,0.67,0.0,1.0,1.37,2.51,7.42,0.11,48.07,8.31,26.15,22.81,2.2,0.86,46.7,0.36,0.45,81.3,0.36,0.0,25.34,150.98,84.73,1.95,0.33,0.0,0.36,0.22,23.45,22.53,96.1,0.64,0.11,0.03,0.0,1.39,1.06,0.14,0.03,1.37,0.64,0.0,0.06,0.0,11.01,2.09,1.37,60.5
Federico Chiesa,Federico Chiesa,0.0302540100091389,32333333,2017-2018,21,1.75,Right Winger,right,Serie A,0.18,0.15,0.18,0.0,0.0,0.21,0.0,0.22,0.22,0.19,0.4,0.18,3.26,0.93,28.4,0.06,0.19,19.0,0.0,0.0,0.0,0.22,0.22,0.07,-0.04,-0.04,22.44,31.05,72.3,361.79,107.72,11.86,14.16,83.8,8.34,11.24,74.2,1.76,3.91,45.0,0.15,0.19,1.58,1.2,1.61,0.42,2.87,31.05,29.19,1.85,0.15,0.09,6.96,0.84,2.63,0.0,0.0,0.0,0.0,19.75,5.68,5.62,6.33,21.96,0.81,1.64,0.15,22.44,0.15,1.11,0.42,1.79,3.97,2.69,0.03,0.48,0.39,0.3,0.09,0.69,0.45,0.0,0.09,0.0,0.15,0.0,1.76,1.11,0.63,0.66,0.48,0.36,1.46,24.5,1.11,18.59,5.44,29.3,3.79,8.76,6.04,1.64,0.03,0.0,1.61,0.27,2.03,0.36,0.0,47.0,0.51,6.39,19.51,26.24,5.47,45.24,2.36,4.27,55.2,2.63,0.12,37.98,232.44,150.48,7.38,2.66,1.58,2.3,2.9,41.26,32.63,79.1,9.02,0.21,0.0,0.0,1.64,1.82,0.39,2.63,0.27,1.11,0.09,0.0,0.0,7.44,0.24,0.96,20.0
Federico Fazio,Federico Julián Fazio,0.0058255495715085,11500000,2017-2018,31,1.95,Centre-Back,right,Serie A,0.06,0.0,0.06,0.0,0.0,0.18,0.0,0.07,0.07,0.01,0.08,0.06,0.68,0.12,18.2,0.09,0.5,11.1,0.0,0.0,0.0,0.07,0.07,0.11,-0.01,-0.01,51.65,61.72,83.7,1093.8,345.22,15.31,17.59,87.0,27.04,30.22,89.5,9.09,13.34,68.1,0.0,0.01,0.06,4.19,0.18,0.06,4.56,61.72,60.18,1.54,1.45,0.03,9.98,1.79,0.18,0.0,0.0,0.0,0.0,44.38,5.73,11.61,8.9,44.78,4.74,0.09,0.22,51.65,0.09,1.11,0.55,0.43,0.71,0.55,0.0,0.0,0.09,0.0,0.06,0.09,0.06,0.0,0.0,0.03,0.0,0.0,1.48,0.86,0.99,0.43,0.06,0.71,1.05,67.6,0.34,6.78,2.53,37.3,3.6,2.74,0.43,1.36,0.83,0.06,0.52,0.71,2.19,4.56,0.06,71.3,7.64,30.06,42.91,3.79,0.86,69.79,0.46,0.74,62.5,0.52,0.03,45.86,258.88,154.47,4.4,0.71,0.03,0.34,0.31,44.91,44.2,98.4,0.65,0.18,0.0,0.0,0.95,0.74,0.0,0.18,0.71,0.86,0.0,0.0,0.0,15.74,4.34,0.77,84.9
Federico Fernández,Federico Fernández,0.014570722896385,8000000,2017-2018,30,1.9,Centre-Back,right,Premier League,0.03,0.03,0.03,0.0,0.0,0.17,0.0,0.02,0.02,0.03,0.05,0.03,0.27,0.07,25.0,0.13,0.5,9.4,0.0,0.0,0.0,0.02,0.02,0.09,0.01,0.01,33.77,39.72,85.0,772.16,290.35,8.14,8.81,92.4,18.09,20.18,89.7,7.26,10.19,71.3,0.03,0.03,0.2,1.95,0.13,0.0,2.56,39.72,38.44,1.28,1.14,0.0,4.3,1.08,0.1,0.0,0.0,0.0,0.0,27.78,4.37,7.57,1.75,34.04,2.62,0.13,0.2,33.77,0.0,0.67,0.57,0.27,0.34,0.3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.71,1.01,0.24,0.07,0.74,1.35,55.0,0.61,7.7,2.59,33.6,5.55,1.78,0.37,1.65,1.04,0.0,0.61,1.28,2.59,7.87,0.0,52.4,9.18,32.89,21.56,1.51,0.67,51.22,0.07,0.24,28.6,0.07,0.0,28.92,161.2,94.88,1.41,0.13,0.0,0.1,0.2,30.2,29.02,96.1,0.24,0.17,0.0,0.0,1.04,0.64,0.07,0.1,1.28,0.71,0.0,0.07,0.03,9.11,3.03,2.12,58.8
Federico Mattiello,Federico Mattiello,0.0039095820449127,1750000,2017-2018,23,1.84,Right-Back,right,Serie A,0.0,0.04,0.0,0.0,0.0,0.29,0.04,0.03,0.03,0.02,0.06,0.0,0.66,0.17,25.0,0.0,0.0,17.0,0.0,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03,28.19,37.11,76.0,454.4,170.29,14.03,15.69,89.4,11.21,14.65,76.5,2.24,4.82,46.6,0.04,0.02,0.46,1.58,0.46,0.17,2.24,37.11,29.97,7.14,0.29,0.0,5.02,0.37,1.37,0.08,0.0,0.04,0.0,20.59,6.6,9.92,17.1,11.17,1.49,6.77,0.12,28.19,0.25,0.62,0.46,1.66,1.37,0.75,0.08,0.12,0.08,0.17,0.17,0.12,0.04,0.0,0.0,0.08,0.0,0.0,3.2,1.87,1.62,1.29,0.29,1.04,2.2,47.2,1.16,16.02,4.23,26.4,7.22,6.35,2.45,2.49,0.62,0.0,1.87,2.03,5.23,1.99,0.0,50.27,3.9,14.9,25.16,14.74,1.2,43.34,1.45,2.2,66.0,1.62,0.04,29.35,193.33,123.67,5.36,1.99,0.17,0.79,1.29,27.86,24.95,89.6,2.2,0.29,0.04,0.04,1.99,1.7,0.08,1.37,2.03,1.87,0.0,0.0,0.0,8.05,0.79,0.91,46.3
Federico Peluso,Federico Peluso,0.0133195068287931,800000,2017-2018,35,1.88,Centre-Back,left,Serie A,0.04,0.04,0.04,0.0,0.0,0.35,0.0,0.04,0.04,0.03,0.06,0.04,0.45,0.07,15.4,0.08,0.5,8.0,0.0,0.0,0.0,0.04,0.04,0.08,0.0,0.0,28.43,39.97,71.1,589.13,314.58,9.06,11.33,79.9,14.55,17.59,82.7,4.34,9.97,43.5,0.04,0.03,0.38,3.15,0.63,0.42,3.29,39.97,32.2,7.76,0.7,0.0,4.55,1.08,1.54,0.1,0.04,0.0,0.04,17.45,7.24,15.28,27.24,2.34,2.24,6.96,0.0,28.43,0.28,1.71,0.63,0.98,0.94,0.66,0.14,0.0,0.1,0.04,0.0,0.07,0.04,0.0,0.0,0.04,0.0,0.0,1.89,0.98,1.08,0.56,0.24,0.77,1.43,53.7,0.66,11.05,2.87,25.9,5.94,3.92,1.19,2.2,0.45,0.0,1.75,1.15,3.04,3.71,0.0,50.56,4.9,20.91,23.01,9.27,0.73,43.01,0.17,0.42,41.7,0.17,0.0,24.83,119.79,64.23,1.68,0.45,0.04,0.49,0.31,27.31,25.87,94.8,0.87,0.35,0.0,0.0,1.33,0.59,0.07,1.54,1.15,0.98,0.0,0.04,0.0,6.89,1.78,0.77,69.9
Federico Ricca,Federico Ricca Rostagnol,0.0047115078332985,1500000,2017-2018,24,1.79,Left-Back,left,La Liga,0.0,0.08,0.0,0.0,0.0,0.32,0.0,0.01,0.01,0.02,0.02,0.0,0.24,0.24,100.0,0.0,0.0,12.2,0.0,0.0,0.0,0.01,0.01,0.02,-0.01,-0.01,32.46,50.07,64.8,572.38,315.28,15.18,18.99,79.9,14.12,19.56,72.2,2.76,9.74,28.3,0.08,0.02,0.41,3.08,0.41,0.16,2.92,50.07,39.6,10.47,0.57,0.0,7.63,0.73,1.87,0.0,0.0,0.0,0.0,19.96,8.44,21.67,31.41,2.35,4.87,9.9,0.08,32.46,0.32,2.03,1.46,2.68,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.79,2.6,0.89,0.08,1.14,2.19,51.9,1.06,17.77,5.52,31.1,11.77,4.54,1.46,3.08,0.08,0.0,3.0,1.7,5.28,1.7,0.08,60.95,3.65,22.4,27.02,13.88,0.57,50.88,0.41,0.49,83.3,0.41,0.0,29.13,121.89,57.29,1.79,0.73,0.0,0.49,0.32,29.95,27.75,92.7,0.89,0.32,0.0,0.0,1.46,0.41,0.0,1.87,1.7,1.79,0.0,0.0,0.0,12.01,1.7,0.73,70.0
Federico Ricci,Federico Ricci,0.0046763191504953,2850000,2017-2018,25,1.75,Right Winger,left,Serie A,0.08,0.08,0.08,0.0,0.0,0.32,0.0,0.2,0.2,0.15,0.34,0.08,2.21,0.79,35.7,0.04,0.1,19.7,0.0,0.0,0.0,0.2,0.2,0.09,-0.12,-0.12,22.76,35.79,63.6,418.95,125.48,10.67,13.04,81.8,8.14,12.64,64.4,3.56,8.22,43.3,0.08,0.15,1.19,1.82,1.26,0.32,3.87,35.79,32.4,3.4,1.26,0.0,6.08,1.98,3.56,1.82,0.63,0.16,0.16,19.12,7.35,9.32,26.15,7.19,1.58,0.24,0.32,22.76,0.24,1.42,0.79,2.05,2.45,1.34,0.55,0.32,0.08,0.08,0.08,0.16,0.08,0.08,0.0,0.0,0.0,0.0,2.53,1.34,0.71,1.19,0.63,0.87,2.29,37.9,1.42,16.91,4.42,26.2,3.79,7.9,5.22,1.74,0.0,0.0,1.74,0.55,3.08,0.16,0.0,52.39,0.63,6.72,22.28,26.63,3.0,49.31,1.74,3.0,57.9,1.9,0.08,38.48,175.97,92.61,5.06,1.5,0.08,3.32,2.84,49.54,35.56,71.8,9.64,0.32,0.0,0.0,1.9,2.69,0.24,3.56,0.55,1.34,0.0,0.0,0.0,7.51,0.55,1.5,26.9
Federico Valverde,Federico Santiago Valverde Dipetta,0.0046290910233338,4500000,2017-2018,20,1.82,Central Midfield,right,La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.08,0.14,0.0,1.24,0.37,29.4,0.0,0.0,26.2,0.0,0.0,0.0,0.06,0.06,0.05,-0.06,-0.06,33.21,43.94,75.6,630.15,164.31,15.33,19.27,79.5,13.14,16.57,79.3,4.31,6.79,63.4,0.0,0.08,0.8,4.23,0.66,0.15,3.5,43.94,42.63,1.31,0.37,0.07,8.32,2.26,1.09,0.29,0.0,0.0,0.0,30.58,4.23,9.12,3.94,36.28,2.41,0.37,0.22,33.21,0.0,1.02,1.31,1.39,1.61,1.31,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.31,0.73,0.66,0.58,0.07,0.44,1.31,33.3,0.88,16.42,3.8,23.1,4.6,9.71,2.12,1.17,0.0,0.0,1.17,1.46,2.77,1.17,0.0,52.19,1.09,9.78,32.34,13.87,1.53,50.95,0.95,1.53,61.9,1.24,0.07,36.86,175.47,86.64,3.65,1.39,0.15,1.53,0.44,38.61,34.67,89.8,3.58,0.0,0.0,0.0,1.24,0.29,0.07,1.09,1.46,0.73,0.0,0.07,0.0,9.71,1.24,0.73,63.0
Federico Viviani,Federico Viviani,0.0277924505465136,3500000,2017-2018,25,1.8,Defensive Midfield,right,Serie A,0.11,0.11,0.11,0.0,0.04,0.33,0.0,0.12,0.09,0.16,0.25,0.11,1.81,0.51,28.0,0.06,0.21,26.0,0.69,0.0,0.04,0.12,0.09,0.05,-0.01,0.02,50.95,63.73,80.0,1144.71,267.93,14.81,16.51,89.7,24.46,27.83,87.9,11.25,18.15,62.0,0.11,0.16,1.63,4.75,0.87,0.07,4.17,63.73,54.76,8.96,5.37,0.15,11.18,3.99,1.67,3.52,1.45,1.13,0.4,37.6,8.24,17.89,7.88,53.31,1.92,0.04,0.15,50.95,0.29,0.65,0.73,0.91,2.65,1.2,0.98,0.15,0.11,0.22,0.0,0.18,0.07,0.04,0.0,0.04,0.04,0.0,2.5,1.63,1.16,1.09,0.25,0.91,2.72,33.3,1.81,17.56,5.08,28.9,7.29,8.64,1.63,1.85,0.36,0.0,1.49,1.45,3.96,0.87,0.0,74.14,2.58,17.89,43.22,16.04,0.54,65.32,1.05,1.2,87.9,1.05,0.0,48.77,179.67,77.37,2.72,0.76,0.15,0.51,1.09,47.18,45.58,96.6,1.23,0.33,0.0,0.0,1.13,2.25,0.11,1.67,1.45,1.63,0.0,0.04,0.0,12.01,0.65,0.36,64.3
Felipe Caicedo,Felipe Salvador Caicedo Corozo,0.0152527866613653,2750000,2017-2018,30,1.83,Centre-Forward,left,Serie A,0.38,0.13,0.38,0.0,0.0,0.13,0.0,0.49,0.49,0.1,0.58,0.38,2.14,1.01,47.1,0.18,0.38,12.2,0.0,0.0,0.0,0.49,0.49,0.23,-0.11,-0.11,17.97,22.37,80.3,241.59,54.68,10.81,12.57,86.0,4.53,6.16,73.5,1.13,1.63,69.2,0.13,0.1,1.01,1.01,0.75,0.0,2.01,22.37,22.25,0.13,0.0,0.0,5.15,0.38,0.13,0.0,0.0,0.0,0.0,13.32,5.78,3.27,14.83,3.27,2.64,0.0,0.13,17.97,0.0,0.25,0.63,0.5,2.01,1.38,0.0,0.38,0.25,0.0,0.0,0.25,0.13,0.0,0.0,0.13,0.0,0.0,1.26,0.75,0.25,0.88,0.13,0.25,1.01,25.0,0.75,21.24,5.41,25.4,2.51,11.69,7.04,0.5,0.0,0.0,0.5,0.13,1.38,0.5,0.0,32.56,0.5,2.89,13.7,17.6,5.66,32.43,2.01,2.39,84.2,2.01,0.25,22.75,80.07,42.74,2.14,0.75,0.88,2.14,1.76,45.38,25.27,55.7,11.19,0.13,0.0,0.0,3.02,1.51,1.01,0.13,0.13,0.75,0.0,0.0,0.0,3.65,2.51,3.65,40.8
Felix Klaus,Felix Klaus,0.0427794767289407,3833333,2017-2018,26,1.79,Right Winger,right,Bundesliga,0.18,0.09,0.18,0.0,0.0,0.23,0.0,0.21,0.21,0.09,0.3,0.18,2.5,1.04,41.8,0.07,0.17,22.3,0.45,0.0,0.0,0.21,0.21,0.08,-0.03,-0.03,22.13,31.17,71.0,360.68,134.16,11.45,14.04,81.6,7.41,9.68,76.5,2.5,5.22,47.8,0.09,0.09,1.36,1.14,0.82,0.41,2.0,31.17,27.99,3.18,0.91,0.09,6.22,0.64,1.54,1.18,0.32,0.41,0.36,14.4,8.0,8.77,2.23,23.4,3.18,1.09,0.36,22.13,0.09,0.59,0.73,1.54,3.36,1.36,0.73,0.18,0.36,0.68,0.05,0.45,0.09,0.09,0.0,0.09,0.18,0.0,2.09,1.27,0.86,0.86,0.36,0.32,2.0,15.9,1.68,21.72,6.22,28.7,5.04,11.81,4.86,1.59,0.18,0.0,1.41,0.36,2.45,0.86,0.0,45.48,1.18,7.68,20.4,20.99,3.18,42.3,1.0,2.18,45.8,1.23,0.05,29.08,155.1,87.05,4.27,1.77,0.77,1.95,2.0,42.02,28.12,66.9,6.32,0.23,0.0,0.0,1.68,2.64,0.27,1.54,0.36,1.27,0.18,0.0,0.0,8.04,1.0,1.82,35.5
Ferland Mendy,Ferland Sinna Mendy,0.004811100715552,7666666,2017-2018,24,1.8,Left-Back,left,Ligue 1,0.0,0.21,0.0,0.0,0.0,0.17,0.0,0.04,0.04,0.13,0.17,0.0,0.76,0.21,27.8,0.0,0.0,20.4,0.0,0.0,0.0,0.04,0.04,0.05,-0.04,-0.04,54.08,63.62,85.0,890.71,282.85,26.64,29.48,90.4,21.84,25.36,86.1,4.11,6.19,66.4,0.21,0.13,1.19,3.82,1.15,0.47,4.96,63.62,56.54,7.08,0.21,0.21,8.19,1.02,1.95,0.04,0.0,0.0,0.0,45.25,8.44,9.92,39.66,13.7,2.67,6.83,0.21,54.08,0.21,1.02,1.82,1.61,2.54,1.95,0.0,0.17,0.17,0.25,0.0,0.55,0.38,0.0,0.0,0.13,0.04,0.0,1.57,0.98,1.15,0.3,0.13,0.72,1.23,58.6,0.51,14.21,4.75,33.4,7.85,3.9,2.46,1.57,0.21,0.0,1.36,1.02,2.59,0.85,0.0,74.52,2.54,19.76,37.62,23.33,1.7,67.44,1.4,2.5,55.9,1.48,0.04,52.8,334.85,204.81,8.23,3.01,0.42,1.36,0.93,51.07,48.44,94.9,2.46,0.17,0.0,0.0,1.27,1.99,0.0,1.95,1.02,0.98,0.04,0.13,0.0,10.35,0.64,0.51,55.6
Fernando Torres,Fernando José Torres Sanz,0.040165737597835,4000000,2017-2018,34,1.86,Centre-Forward,right,La Liga,0.46,0.0,0.46,0.0,0.09,0.18,0.0,0.44,0.37,0.03,0.39,0.46,2.66,0.92,34.5,0.17,0.5,12.6,0.0,0.0,0.09,0.44,0.37,0.14,0.02,0.09,13.93,21.9,63.6,193.56,37.39,8.89,12.83,69.3,4.03,6.51,62.0,0.64,1.56,41.2,0.0,0.03,0.37,1.1,0.64,0.0,1.1,21.9,21.35,0.55,0.0,0.09,5.77,0.46,0.46,0.0,0.0,0.0,0.0,12.19,4.12,5.59,1.37,14.66,4.03,0.09,0.18,13.93,0.27,0.46,1.01,0.82,1.56,0.64,0.0,0.27,0.18,0.46,0.0,0.27,0.0,0.0,0.18,0.09,0.0,0.0,0.64,0.46,0.18,0.27,0.18,0.09,0.27,33.3,0.18,16.13,4.4,27.3,2.38,7.52,6.23,0.73,0.0,0.0,0.73,0.0,0.64,0.55,0.0,34.19,0.64,4.03,16.13,16.22,5.04,33.54,1.47,2.84,51.6,1.74,0.09,22.82,105.95,57.19,2.75,0.82,0.64,2.57,1.92,45.37,25.48,56.2,9.07,0.18,0.0,0.0,1.65,2.38,0.92,0.46,0.0,0.46,0.0,0.0,0.0,4.95,1.65,3.21,34.0
Filip Helander,Filip Viktor Helander,0.0048497958273825,2250000,2017-2018,26,1.92,Centre-Back,left,Serie A,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.01,0.0,0.01,0.0,0.11,0.04,33.3,0.0,0.0,6.7,0.0,0.0,0.0,0.01,0.01,0.14,-0.01,-0.01,36.4,45.29,80.4,786.82,252.11,9.54,11.2,85.2,20.16,22.18,90.9,6.59,10.94,60.2,0.0,0.0,0.0,2.41,0.11,0.0,2.99,45.29,43.45,1.84,1.08,0.0,5.76,0.9,0.0,0.0,0.0,0.0,0.0,31.72,4.18,9.4,33.55,6.59,2.84,0.76,0.14,36.4,0.18,1.01,0.58,0.94,0.32,0.29,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.97,1.22,0.4,0.04,0.68,1.26,54.3,0.58,13.32,4.25,31.9,8.82,4.28,0.22,2.48,0.76,0.0,1.73,0.4,2.05,4.97,0.0,55.84,7.45,29.48,28.66,1.8,0.43,54.07,0.18,0.18,100.0,0.18,0.0,32.11,212.4,122.4,3.2,0.47,0.0,0.18,0.32,34.02,33.34,98.0,0.22,0.22,0.0,0.0,1.08,0.5,0.0,0.0,0.4,0.97,0.0,0.0,0.0,9.68,2.3,1.44,61.5
Filippo Romagna,Filippo Romagna,0.0045670774757154,5000000,2017-2018,22,1.86,Centre-Back,right,Serie A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,,31.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,31.94,42.76,74.7,700.74,263.18,9.44,11.2,84.3,16.16,19.31,83.7,6.01,11.15,53.8,0.0,0.0,0.14,3.53,0.48,0.14,3.43,42.76,40.57,2.19,1.67,0.0,7.15,1.24,0.24,0.0,0.0,0.0,0.0,25.07,4.43,13.25,1.81,36.32,2.91,0.48,0.1,31.94,0.29,1.43,0.67,0.91,0.48,0.38,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.86,1.19,1.33,0.43,0.1,0.57,1.14,50.0,0.57,9.96,3.43,34.4,6.05,3.38,0.52,1.57,0.43,0.0,1.14,0.86,2.72,4.29,0.05,52.01,5.53,26.27,25.93,3.67,0.14,50.1,0.29,0.33,85.7,0.29,0.0,30.94,185.1,96.77,2.38,1.1,0.0,0.33,0.29,28.84,28.46,98.7,0.1,0.0,0.0,0.0,0.62,0.72,0.0,0.24,0.86,1.19,0.0,0.05,0.0,11.77,1.76,1.1,61.7
