Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Alex Cordaz,Alex Cordaz,0.1321001075208165,1000000,2017-2018,35.0,1.88,Goalkeeper,right,Serie A,1.74,5.24,3.63,69.8,0.24,0.21,0.55,0.13,13.2,0.21,0.16,0.03,0.03,14.3,1.74,0.16,0.08,0.29,0.0,1.7,0.3,-0.04,8.0,23.26,34.4,20.55,2.5,72.3,51.6,8.89,94.4,62.3,11.26,0.55,4.9,0.68,14.4,Alex Cordaz
Alex McCarthy,Alex Simon McCarthy,0.0962387823492456,6000000,2020-2021,32.0,1.93,Goalkeeper,right,Premier League,1.9,4.7,3.0,63.8,0.27,0.23,0.5,0.23,23.3,0.2,0.2,0.0,0.0,0.0,1.9,0.2,0.03,0.13,0.03,1.6,0.31,-0.27,5.17,17.5,29.5,29.93,4.13,45.8,36.8,5.7,66.7,47.6,7.97,0.73,9.2,0.67,15.1,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1966666701110807,4500000,2019-2020,31.0,1.93,Goalkeeper,right,Premier League,1.25,3.93,2.75,69.1,0.46,0.18,0.36,0.25,25.0,0.07,0.04,0.04,0.0,50.0,1.25,0.04,0.0,0.14,0.04,1.45,0.36,0.23,7.07,19.86,35.6,22.79,2.64,63.9,48.0,6.32,83.6,61.4,9.21,0.71,7.8,0.5,14.8,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1221366848560725,4666666,2018-2019,30.0,1.93,Goalkeeper,right,Premier League,1.76,4.72,3.16,64.4,0.2,0.32,0.48,0.16,16.0,0.08,0.08,0.0,0.0,0.0,1.76,0.08,0.0,0.16,0.12,1.38,0.28,-0.26,5.6,18.16,30.8,19.04,3.2,61.3,48.7,7.6,85.3,63.6,9.88,0.92,9.3,0.68,14.8,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1515220213306374,2500000,2017-2018,29.0,1.93,Goalkeeper,right,Premier League,1.44,3.72,2.28,62.7,0.17,0.44,0.39,0.22,22.2,0.06,0.06,0.0,0.0,0.0,1.44,0.06,0.0,0.22,0.0,1.21,0.32,-0.23,5.83,19.83,29.4,17.0,3.06,68.6,51.6,8.67,94.2,67.0,11.39,1.06,9.3,0.28,12.6,Alex McCarthy
Alex Meret,Alex Meret,0.1879626274663702,21666666,2020-2021,24.0,1.9,Goalkeeper,left,Serie A,1.32,3.59,2.41,65.8,0.59,0.23,0.18,0.27,27.3,0.09,0.09,0.0,0.0,0.0,1.32,0.09,0.05,0.14,0.05,1.04,0.28,-0.24,2.86,5.32,53.8,23.23,4.41,18.0,26.7,4.36,26.0,28.2,6.77,0.68,10.1,0.27,13.0,Alex Meret
Alex Meret,Alex Meret,0.121592474209878,33250000,2019-2020,23.0,1.9,Goalkeeper,left,Serie A,1.52,3.51,2.12,63.2,0.42,0.23,0.32,0.14,14.3,0.28,0.23,0.05,0.0,16.7,1.52,0.23,0.0,0.14,0.05,1.28,0.29,-0.2,2.26,6.14,36.8,21.4,3.92,23.7,28.1,6.32,16.8,24.4,7.06,0.37,5.2,0.28,12.1,Alex Meret
Alex Meret,Alex Meret,0.2576903202962959,19250000,2018-2019,22.0,1.9,Goalkeeper,left,Serie A,0.7,3.68,3.13,85.1,0.7,0.08,0.23,0.39,38.5,0.16,0.16,0.0,0.0,0.0,0.7,0.16,0.0,0.08,0.0,0.88,0.2,0.18,2.82,9.7,29.0,19.8,3.6,30.0,32.3,7.9,47.5,42.2,8.92,0.55,6.1,0.47,15.3,Alex Meret
Alex Meret,Alex Meret,0.2243505709812569,8000000,2017-2018,21.0,1.9,Goalkeeper,left,Serie A,1.24,4.35,3.49,76.8,0.16,0.54,0.31,0.31,30.8,0.47,0.23,0.16,0.08,40.0,1.24,0.23,0.0,0.16,0.16,1.51,0.28,0.42,6.83,17.78,38.4,19.41,1.94,56.0,42.5,8.31,83.2,55.6,10.25,1.01,9.8,0.23,13.0,Alex Meret
Alexander Nübel,Alexander Nübel,0.1441407328090193,12500000,2019-2020,24.0,1.93,Goalkeeper,right,Bundesliga,1.56,4.43,3.07,68.4,0.31,0.35,0.35,0.23,23.1,0.16,0.16,0.0,0.0,0.0,1.56,0.16,0.04,0.23,0.08,1.44,0.3,-0.04,6.57,17.22,38.1,31.18,4.32,39.7,37.9,8.05,60.4,47.1,8.32,0.39,4.7,0.62,14.6,Alexander Nübel
Alexander Nübel,Alexander Nübel,0.1133790533529133,6500000,2018-2019,23.0,1.93,Goalkeeper,right,Bundesliga,1.64,4.36,2.78,66.2,0.23,0.34,0.45,0.23,22.2,0.23,0.17,0.06,0.0,25.0,1.64,0.17,0.0,0.0,0.0,1.6,0.33,-0.04,7.31,16.83,43.4,22.33,3.23,48.0,41.0,7.54,81.2,57.9,8.22,0.57,6.9,0.28,13.9,Alexander Nübel
Alexander Schwolow,Alexander Schwolow,0.2324797281617874,6333333,2020-2021,29.0,1.9,Goalkeeper,right,Bundesliga,1.5,3.96,2.69,68.0,0.23,0.38,0.38,0.31,30.8,0.23,0.23,0.0,0.0,0.0,1.5,0.23,0.04,0.12,0.0,1.42,0.31,-0.08,6.69,13.81,48.5,26.88,4.73,33.6,34.3,8.42,56.6,46.3,8.77,0.54,6.1,0.46,13.7,Alexander Schwolow
Alexander Schwolow,Alexander Schwolow,0.1754912559626847,8000000,2019-2020,28.0,1.9,Goalkeeper,right,Bundesliga,1.38,4.91,3.57,74.6,0.39,0.26,0.39,0.17,16.7,0.13,0.13,0.0,0.0,0.0,1.38,0.13,0.0,0.22,0.0,1.34,0.26,-0.03,7.7,20.53,37.5,31.42,4.95,40.5,38.0,10.72,72.7,58.3,9.21,0.6,6.5,0.43,13.0,Alexander Schwolow
Alexander Schwolow,Alexander Schwolow,0.0871397153520605,8000000,2018-2019,27.0,1.9,Goalkeeper,right,Bundesliga,1.82,4.91,3.27,67.3,0.21,0.36,0.42,0.15,15.2,0.21,0.21,0.0,0.0,0.0,1.82,0.21,0.0,0.36,0.0,1.65,0.3,-0.16,8.73,21.45,40.7,28.52,4.12,47.4,41.0,9.91,80.1,64.1,10.39,0.48,4.7,0.58,13.7,Alexander Schwolow
Alexander Schwolow,Alexander Schwolow,0.1424059196025439,5333333,2017-2018,26.0,1.9,Goalkeeper,right,Bundesliga,1.64,4.4,3.0,65.5,0.25,0.34,0.43,0.28,27.3,0.15,0.12,0.0,0.03,0.0,1.64,0.12,0.03,0.28,0.12,1.38,0.3,-0.14,9.88,24.49,40.3,31.64,3.59,52.4,42.7,8.92,88.5,66.0,10.09,0.59,5.8,0.93,18.2,Alexander Schwolow
Alexandre Letellier,Alexandre Letellier,0.1666432579463186,1333333,2017-2018,28.0,1.93,Goalkeeper,right,Ligue 1,1.31,3.54,2.46,67.4,0.15,0.54,0.31,0.08,7.7,0.15,0.15,0.0,0.0,0.0,1.31,0.15,0.0,0.23,0.08,1.05,0.27,-0.18,5.54,12.62,43.9,15.15,3.38,53.3,43.9,4.54,100.0,72.1,10.23,0.69,6.8,0.46,16.5,Alexandre Letellier
Alexandre Oukidja,Alexandre Oukidja,0.2444842864057493,2833333,2020-2021,33.0,1.84,Goalkeeper,right,Ligue 1,1.15,3.44,2.56,74.4,0.35,0.29,0.35,0.24,23.5,0.29,0.26,0.03,0.0,10.0,1.15,0.26,0.0,0.15,0.03,1.19,0.27,0.1,7.8,17.69,44.1,22.01,5.56,52.9,42.9,8.45,71.4,53.2,9.48,1.12,11.8,1.09,16.7,Alexandre Oukidja
Alexandre Oukidja,Alexandre Oukidja,0.2209831027712464,1800000,2019-2020,32.0,1.84,Goalkeeper,right,Ligue 1,1.17,4.79,3.74,78.0,0.3,0.38,0.34,0.3,29.6,0.11,0.11,0.0,0.0,0.0,1.17,0.11,0.0,0.23,0.0,1.32,0.26,0.15,8.3,23.92,34.7,25.58,4.26,65.6,49.4,7.89,90.4,64.9,10.79,1.32,12.2,0.98,15.7,Alexandre Oukidja
Alexandre Oukidja,Alexandre Oukidja,0.1200393436390575,700000,2017-2018,30.0,1.84,Goalkeeper,right,Ligue 1,1.79,4.32,2.78,64.3,0.19,0.31,0.49,0.12,12.5,0.31,0.25,0.06,0.0,20.0,1.79,0.25,0.0,0.06,0.0,1.69,0.33,-0.11,6.3,17.91,35.2,18.47,2.72,65.2,48.0,6.3,93.1,67.3,9.64,0.99,10.3,0.43,13.9,Alexandre Oukidja
Alphonse Aréola,Alphonse Francis Aréola,0.183751477066915,15000000,2020-2021,28.0,1.95,Goalkeeper,right,Premier League,1.33,4.33,3.17,73.1,0.14,0.36,0.5,0.25,25.0,0.17,0.17,0.0,0.0,0.0,1.33,0.17,0.0,0.11,0.03,1.52,0.32,0.21,4.75,11.97,39.7,20.89,4.39,38.2,34.0,6.92,57.8,43.1,9.03,0.89,9.8,0.56,13.9,Alphonse Aréola
Alphonse Aréola,Alphonse Francis Aréola,0.2272272923855005,16666666,2018-2019,26.0,1.95,Goalkeeper,right,Ligue 1,0.81,3.0,2.43,79.4,0.76,0.14,0.1,0.52,52.4,0.19,0.19,0.0,0.0,0.0,0.81,0.19,0.0,0.05,0.05,0.94,0.26,0.18,3.33,6.05,55.1,17.81,4.52,22.7,28.3,6.38,31.3,35.2,8.19,0.29,3.5,0.67,13.2,Alphonse Aréola
Alphonse Aréola,Alphonse Francis Aréola,0.2288160567333046,15000000,2017-2018,25.0,1.95,Goalkeeper,right,Ligue 1,0.74,3.12,2.41,77.4,0.76,0.18,0.06,0.5,50.0,0.06,0.03,0.03,0.0,50.0,0.74,0.03,0.06,0.18,0.0,0.76,0.23,0.02,1.41,2.79,50.5,14.82,2.65,13.9,24.3,2.35,31.3,34.4,8.79,0.71,8.0,0.91,16.8,Alphonse Aréola
Andrea Consigli,Andrea Consigli,0.161891341558315,3333333,2020-2021,34.0,1.89,Goalkeeper,right,Serie A,1.51,4.86,3.43,71.1,0.46,0.27,0.27,0.19,19.4,0.14,0.11,0.03,0.0,20.0,1.51,0.11,0.0,0.11,0.03,1.55,0.3,0.07,5.0,11.05,45.2,30.35,4.35,30.9,30.9,6.35,26.4,25.9,8.84,0.78,8.9,0.7,15.9,Andrea Consigli
Andrea Consigli,Andrea Consigli,0.1066825652845331,3150000,2019-2020,33.0,1.89,Goalkeeper,right,Serie A,1.77,4.52,3.0,65.7,0.39,0.16,0.45,0.16,16.1,0.26,0.23,0.03,0.0,12.5,1.77,0.23,0.03,0.29,0.1,1.6,0.32,-0.08,4.55,10.94,41.6,25.45,4.39,34.2,32.7,6.65,33.5,29.9,9.39,0.81,8.6,0.65,14.9,Andrea Consigli
Andrea Consigli,Andrea Consigli,0.1303484087626933,4500000,2018-2019,32.0,1.89,Goalkeeper,right,Serie A,1.57,4.03,2.63,63.9,0.25,0.42,0.34,0.34,33.3,0.22,0.11,0.08,0.03,42.9,1.57,0.11,0.0,0.31,0.06,1.35,0.3,-0.16,6.3,14.68,42.9,24.93,4.51,43.0,36.7,7.9,50.0,40.7,10.34,0.67,6.5,0.5,14.1,Andrea Consigli
