Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Antonio Mirante,Antonio Mirante,0.2852498852714348,800000,2018-2019,36.0,1.93,Goalkeeper,right,Serie A,0.55,3.27,2.55,83.3,0.55,0.36,0.09,0.55,54.5,0.09,0.0,0.09,0.0,100.0,0.55,0.0,0.0,0.18,0.0,0.95,0.28,0.4,7.82,16.73,46.7,21.09,3.73,47.0,39.6,8.36,81.5,55.3,10.91,0.73,6.7,0.55,14.6,Antonio Mirante
Antonio Mirante,Antonio Mirante,0.1690561124198342,1250000,2017-2018,35.0,1.93,Goalkeeper,right,Serie A,1.39,4.33,3.03,69.2,0.3,0.15,0.55,0.21,21.2,0.09,0.06,0.0,0.03,0.0,1.39,0.06,0.03,0.15,0.09,1.26,0.28,-0.05,11.27,21.67,52.0,27.94,4.21,53.5,42.7,8.76,76.8,54.0,12.21,0.85,6.9,0.94,15.1,Antonio Mirante
Artur Boruc,Artur Boruc,0.1575933440223473,1000000,2018-2019,39.0,1.93,Goalkeeper,right,Premier League,1.5,4.42,3.0,71.7,0.33,0.25,0.42,0.33,33.3,0.25,0.25,0.0,0.0,0.0,1.5,0.25,0.17,0.17,0.0,1.39,0.27,-0.11,5.33,15.25,35.0,19.58,4.83,44.7,41.2,9.42,69.0,53.3,10.75,0.33,3.1,0.42,14.1,Artur Boruc
Asmir Begović,Asmir Begović,0.0660498921364529,7500000,2018-2019,32.0,1.99,Goalkeeper,right,Premier League,1.96,4.29,2.42,56.3,0.33,0.13,0.54,0.21,20.8,0.08,0.08,0.0,0.0,0.0,1.96,0.08,0.0,0.25,0.08,1.57,0.36,-0.31,5.63,14.38,39.1,19.46,5.04,45.8,40.2,8.04,67.9,53.5,9.67,0.92,9.5,0.38,13.1,Asmir Begović
Asmir Begović,Asmir Begović,0.1320285160785461,8000000,2017-2018,31.0,1.99,Goalkeeper,right,Premier League,1.61,4.5,2.97,65.5,0.29,0.29,0.42,0.16,15.8,0.11,0.05,0.03,0.03,33.3,1.61,0.05,0.05,0.21,0.03,1.51,0.33,-0.07,6.13,17.58,34.9,21.66,5.97,48.8,41.5,8.66,80.9,58.5,10.24,0.89,8.7,0.21,13.2,Asmir Begović
Baptiste Reynet,Baptiste Reynet,0.1909844977267367,2250000,2020-2021,31.0,1.85,Goalkeeper,right,Ligue 1,1.87,5.05,3.29,66.1,0.24,0.21,0.55,0.21,21.1,0.26,0.16,0.08,0.03,33.3,1.87,0.16,0.03,0.18,0.0,1.68,0.29,-0.19,7.84,21.05,37.3,33.87,3.79,46.3,40.5,7.89,68.0,50.4,9.53,0.5,5.2,0.71,14.5,Baptiste Reynet
Baptiste Reynet,Baptiste Reynet,0.070803827977057,3133333,2019-2020,30.0,1.85,Goalkeeper,right,Ligue 1,2.17,4.96,2.96,58.9,0.13,0.13,0.71,0.09,9.1,0.22,0.13,0.09,0.0,40.0,2.17,0.13,0.04,0.13,0.04,1.82,0.33,-0.31,8.72,22.83,38.2,27.35,3.54,57.3,43.7,10.04,71.4,52.2,10.97,0.71,6.5,1.06,16.1,Baptiste Reynet
Baptiste Reynet,Baptiste Reynet,0.1462935015114173,5000000,2018-2019,29.0,1.85,Goalkeeper,right,Ligue 1,1.5,4.66,3.3,70.7,0.2,0.37,0.47,0.2,19.4,0.17,0.13,0.03,0.0,20.0,1.5,0.13,0.07,0.17,0.0,1.36,0.27,-0.14,7.76,19.4,40.0,25.63,4.46,50.0,42.0,9.69,68.0,53.1,10.68,0.87,8.1,0.8,14.6,Baptiste Reynet
Baptiste Reynet,Baptiste Reynet,0.0966473424375362,5000000,2017-2018,28.0,1.85,Goalkeeper,right,Ligue 1,1.92,5.21,3.66,68.7,0.34,0.24,0.42,0.13,13.2,0.39,0.29,0.08,0.03,21.4,1.92,0.29,0.05,0.18,0.08,1.97,0.32,0.12,7.5,17.11,43.8,30.34,4.5,45.8,40.2,4.79,67.0,52.6,11.74,1.24,10.5,1.26,16.9,Baptiste Reynet
Ben Foster,Benjamin Anthony Foster,0.1421108766440305,1350000,2019-2020,37.0,1.93,Goalkeeper,left,Premier League,1.68,4.37,2.87,66.3,0.21,0.26,0.53,0.24,23.7,0.24,0.21,0.03,0.0,11.1,1.68,0.21,0.08,0.18,0.08,1.53,0.31,-0.07,8.47,25.66,33.0,23.92,3.18,77.4,54.3,7.68,92.8,67.6,9.66,0.97,10.1,1.16,15.6,Ben Foster
Ben Foster,Benjamin Anthony Foster,0.167683248600845,3000000,2018-2019,36.0,1.93,Goalkeeper,left,Premier League,1.55,4.5,3.03,67.8,0.37,0.21,0.42,0.18,18.4,0.13,0.11,0.03,0.0,20.0,1.55,0.11,0.05,0.18,0.08,1.41,0.3,-0.06,9.53,25.71,37.1,24.84,2.76,73.3,52.8,8.08,92.8,68.9,10.21,0.87,8.5,1.29,15.6,Ben Foster
Ben Foster,Benjamin Anthony Foster,0.170985178334108,3250000,2017-2018,35.0,1.93,Goalkeeper,left,Premier League,1.49,4.11,2.65,64.5,0.16,0.32,0.51,0.27,27.0,0.03,0.03,0.0,0.0,0.0,1.49,0.03,0.08,0.24,0.03,1.32,0.32,-0.14,9.38,25.0,37.5,21.57,2.0,75.6,54.3,9.11,95.5,70.6,11.78,0.78,6.7,0.51,14.0,Ben Foster
Benjamin Lecomte,Benjamin Lecomte,0.2583309528980061,10500000,2020-2021,30.0,1.86,Goalkeeper,left,Ligue 1,0.96,2.21,1.39,61.3,0.64,0.18,0.18,0.46,46.4,0.11,0.11,0.0,0.0,0.0,0.96,0.11,0.04,0.04,0.04,0.69,0.27,-0.24,6.07,14.29,42.5,29.54,3.89,39.3,35.9,6.07,44.1,40.3,7.0,0.39,5.6,1.29,18.1,Benjamin Lecomte
Benjamin Lecomte,Benjamin Lecomte,0.1485328637750865,13000000,2019-2020,29.0,1.86,Goalkeeper,left,Ligue 1,1.57,4.71,3.39,71.2,0.39,0.25,0.36,0.25,25.0,0.21,0.21,0.0,0.0,0.0,1.57,0.21,0.0,0.29,0.04,1.47,0.28,-0.07,6.25,13.5,46.3,22.82,4.86,39.9,36.6,7.46,58.9,45.1,8.93,0.93,10.4,0.43,14.3,Benjamin Lecomte
Benjamin Lecomte,Benjamin Lecomte,0.1996258584912965,11375000,2018-2019,28.0,1.86,Goalkeeper,left,Ligue 1,1.14,3.68,2.7,71.3,0.41,0.35,0.24,0.3,29.7,0.14,0.08,0.03,0.03,25.0,1.14,0.08,0.03,0.19,0.08,1.1,0.28,0.05,9.08,20.11,45.2,26.95,4.51,56.6,44.3,7.16,67.9,52.2,8.3,0.59,7.2,0.7,15.6,Benjamin Lecomte
Benjamin Lecomte,Benjamin Lecomte,0.2308478125382013,5000000,2017-2018,27.0,1.86,Goalkeeper,left,Ligue 1,0.87,3.18,2.45,76.9,0.29,0.47,0.24,0.37,36.8,0.16,0.13,0.0,0.03,0.0,0.87,0.13,0.03,0.11,0.0,1.0,0.28,0.13,5.71,13.42,42.5,20.03,4.68,52.0,41.4,4.24,70.8,51.8,8.84,1.21,13.7,0.47,16.0,Benjamin Lecomte
Benoît Costil,Benoît Costil,0.2078578914526148,3266666,2020-2021,34.0,1.88,Goalkeeper,right,Ligue 1,1.5,3.89,2.58,66.2,0.34,0.16,0.5,0.37,36.8,0.21,0.18,0.03,0.0,12.5,1.5,0.18,0.05,0.16,0.03,1.23,0.27,-0.22,8.37,18.16,46.1,27.24,3.79,47.3,39.2,7.66,68.7,50.5,8.53,0.47,5.6,0.55,13.8,Benoît Costil
Benoît Costil,Benoît Costil,0.185431446739476,4500000,2019-2020,33.0,1.88,Goalkeeper,right,Ligue 1,1.21,3.79,2.68,69.8,0.32,0.36,0.32,0.21,21.4,0.11,0.07,0.04,0.0,33.3,1.21,0.07,0.0,0.14,0.04,1.11,0.27,-0.06,7.39,15.93,46.4,22.93,3.43,48.0,38.8,8.71,56.6,43.7,9.75,0.57,5.9,0.57,14.5,Benoît Costil
Benoît Costil,Benoît Costil,0.1881379652565306,5833333,2018-2019,32.0,1.88,Goalkeeper,right,Ligue 1,1.14,3.95,2.97,75.3,0.24,0.3,0.46,0.27,27.0,0.19,0.16,0.03,0.0,14.3,1.14,0.16,0.03,0.3,0.0,1.22,0.27,0.08,7.49,16.54,45.3,22.81,3.32,47.0,40.9,8.27,70.3,53.3,9.73,0.43,4.4,0.65,14.0,Benoît Costil
Benoît Costil,Benoît Costil,0.1743831524126508,6500000,2017-2018,31.0,1.88,Goalkeeper,right,Ligue 1,1.25,3.31,2.19,65.5,0.44,0.19,0.36,0.28,27.8,0.25,0.11,0.11,0.03,50.0,1.25,0.11,0.11,0.17,0.03,0.99,0.25,-0.23,4.75,14.64,32.4,21.03,2.69,48.5,42.6,4.94,89.9,65.5,9.47,0.78,8.2,0.56,14.3,Benoît Costil
Bernd Leno,Bernd Leno,0.2243573153398297,27750000,2020-2021,29.0,1.9,Goalkeeper,right,Premier League,1.06,3.36,2.41,69.2,0.49,0.17,0.34,0.32,31.4,0.06,0.03,0.03,0.0,50.0,1.06,0.03,0.0,0.14,0.12,1.07,0.31,0.12,3.16,9.72,32.5,26.73,4.77,22.0,28.6,6.5,58.8,46.6,8.91,0.75,8.4,0.63,14.5,Bernd Leno
Bernd Leno,Bernd Leno,0.176797362697844,31500000,2019-2020,28.0,1.9,Goalkeeper,right,Premier League,1.33,4.99,3.74,77.6,0.31,0.44,0.27,0.24,23.3,0.24,0.2,0.03,0.0,14.3,1.33,0.2,0.0,0.2,0.0,1.53,0.27,0.21,3.06,10.87,28.1,25.11,5.91,28.1,31.9,8.53,44.6,40.0,9.28,0.61,6.6,0.61,13.5,Bernd Leno
Bernd Leno,Bernd Leno,0.1821630769869325,25666666,2018-2019,27.0,1.9,Goalkeeper,right,Premier League,1.33,4.38,3.3,74.6,0.51,0.22,0.25,0.22,22.6,0.22,0.22,0.0,0.0,0.0,1.33,0.22,0.03,0.13,0.06,1.45,0.29,0.18,4.54,13.87,32.7,27.87,5.46,34.5,35.9,7.17,59.3,50.0,8.06,0.44,5.5,0.57,14.6,Bernd Leno
Bernd Leno,Bernd Leno,0.1649337026910597,17333333,2017-2018,26.0,1.9,Goalkeeper,right,Bundesliga,1.21,3.15,2.06,66.3,0.45,0.3,0.24,0.3,30.3,0.15,0.15,0.0,0.0,0.0,1.21,0.15,0.06,0.09,0.0,1.05,0.3,-0.17,6.55,17.52,37.4,29.76,3.97,44.6,38.8,6.82,62.2,50.6,6.76,0.36,5.4,0.97,18.0,Bernd Leno
Bingourou Kamara,Bingourou Kamara,0.1090399535230629,2500000,2017-2018,22.0,1.96,Goalkeeper,right,Ligue 1,1.7,4.79,3.19,66.7,0.21,0.32,0.48,0.11,10.5,0.11,0.11,0.0,0.0,0.0,1.7,0.11,0.0,0.32,0.0,1.32,0.26,-0.38,5.43,13.56,40.0,19.26,2.23,46.1,40.1,5.37,87.1,61.4,11.28,1.12,9.9,0.32,11.6,Bingourou Kamara
Bobby Allain,Bobby Allain,0.2292248954143474,525000,2018-2019,28.0,1.85,Goalkeeper,right,Ligue 1,1.31,5.69,4.46,78.4,0.15,0.15,0.69,0.08,7.7,0.08,0.08,0.0,0.0,0.0,1.31,0.08,0.0,0.15,0.08,1.47,0.26,0.24,10.77,23.23,46.4,26.15,5.38,58.2,44.9,9.69,82.5,57.7,11.0,1.85,16.8,0.85,15.8,Bobby Allain
Brice Samba,Brice Samba,0.1831988538755398,2350000,2018-2019,25.0,1.86,Goalkeeper,right,Ligue 1,1.42,4.79,3.53,73.6,0.18,0.32,0.5,0.24,24.3,0.21,0.16,0.05,0.0,25.0,1.42,0.16,0.11,0.13,0.05,1.56,0.3,0.19,9.71,21.71,44.7,23.87,4.39,63.1,46.2,8.29,80.3,58.5,9.11,0.95,10.4,0.55,14.0,Brice Samba
Christian Mathenia,Christian Mathenia,0.1274621673901043,1000000,2018-2019,26.0,1.89,Goalkeeper,right,Bundesliga,1.86,5.4,3.49,66.4,0.05,0.33,0.65,0.09,9.1,0.05,0.05,0.0,0.0,0.0,1.86,0.05,0.05,0.28,0.09,1.95,0.35,0.18,8.89,23.56,37.7,31.57,4.38,50.9,43.2,10.15,73.9,58.3,14.34,1.72,12.0,0.28,12.1,Christian Mathenia
Christian Mathenia,Christian Mathenia,0.1210173787012088,1625000,2017-2018,25.0,1.89,Goalkeeper,right,Bundesliga,1.58,3.88,2.42,62.4,0.17,0.25,0.58,0.25,25.0,0.17,0.13,0.0,0.04,0.0,1.58,0.13,0.0,0.17,0.04,1.52,0.38,-0.03,5.25,18.0,29.2,21.13,3.04,57.2,44.7,7.54,78.5,58.5,7.5,0.38,5.0,0.46,14.3,Christian Mathenia
Christian Puggioni,Christian Puggioni,0.1160175205066484,300000,2017-2018,37.0,1.87,Goalkeeper,right,Serie A,1.72,4.89,3.49,72.2,0.36,0.14,0.54,0.23,21.7,0.41,0.36,0.0,0.05,0.0,1.72,0.36,0.0,0.18,0.0,1.78,0.31,0.06,6.12,14.23,43.0,24.61,5.26,39.4,35.7,7.75,58.5,44.8,10.88,1.18,10.8,1.0,15.3,Christian Puggioni
Danijel Subašić,Danijel Subašić,0.2124003380685764,3000000,2018-2019,35.0,1.91,Goalkeeper,right,Ligue 1,0.95,2.85,2.06,72.2,0.32,0.4,0.4,0.32,28.6,0.24,0.16,0.08,0.0,33.3,0.95,0.16,0.0,0.24,0.0,0.97,0.27,0.02,5.46,13.52,40.4,18.43,3.88,50.6,43.1,6.49,64.6,51.0,6.64,0.32,4.8,0.24,15.0,Danijel Subašić
Danijel Subašić,Danijel Subašić,0.1756635338754362,4750000,2017-2018,34.0,1.91,Goalkeeper,right,Ligue 1,1.26,3.98,2.88,71.5,0.64,0.24,0.15,0.34,32.4,0.12,0.12,0.0,0.0,0.0,1.26,0.12,0.03,0.09,0.03,1.18,0.27,-0.05,3.58,10.65,33.6,15.4,2.63,50.7,42.8,4.29,66.4,53.7,10.9,0.92,8.4,0.64,15.8,Danijel Subašić
Diego Benaglio,Diego Orlando Benaglio,0.1040055906052666,750000,2018-2019,36.0,1.94,Goalkeeper,right,Ligue 1,1.66,4.11,2.63,62.8,0.18,0.26,0.53,0.18,18.2,0.22,0.13,0.09,0.0,40.0,1.66,0.13,0.0,0.13,0.04,1.4,0.3,-0.22,3.98,10.37,38.4,20.08,4.59,31.6,33.3,6.96,57.9,46.4,9.89,0.79,8.0,0.26,12.3,Diego Benaglio
Eiji Kawashima,Eiji Kawashima,0.2277649211395103,250000,2020-2021,38.0,1.85,Goalkeeper,right,Ligue 1,1.29,3.79,2.58,69.2,0.33,0.29,0.38,0.33,33.3,0.21,0.13,0.04,0.04,25.0,1.29,0.13,0.04,0.13,0.0,1.23,0.31,-0.06,8.29,17.54,47.3,21.75,3.29,53.1,42.1,8.04,74.6,56.2,8.5,0.5,5.9,0.21,11.5,Eiji Kawashima
Eiji Kawashima,Eiji Kawashima,0.101683689805781,250000,2017-2018,35.0,1.85,Goalkeeper,right,Ligue 1,2.1,6.03,3.96,65.1,0.18,0.25,0.6,0.07,6.9,0.07,0.0,0.07,0.0,100.0,2.1,0.0,0.04,0.35,0.04,1.91,0.32,-0.15,5.29,15.69,33.7,18.29,3.47,57.3,45.2,5.54,94.3,67.3,9.6,0.67,6.9,0.84,15.6,Eiji Kawashima
Emiliano Viviano,Emiliano Viviano,0.1619402557052757,1000000,2018-2019,34.0,1.95,Goalkeeper,left,Serie A,1.48,4.84,3.54,74.4,0.41,0.18,0.41,0.24,23.5,0.24,0.24,0.0,0.0,0.0,1.48,0.24,0.0,0.18,0.0,1.46,0.27,-0.01,8.14,18.0,45.2,25.38,2.42,48.8,41.4,9.68,57.9,46.3,9.09,0.41,4.5,0.24,13.2,Emiliano Viviano
Emiliano Viviano,Emiliano Viviano,0.1624254308710189,2500000,2017-2018,33.0,1.95,Goalkeeper,left,Serie A,1.59,4.78,3.3,68.2,0.41,0.15,0.44,0.22,22.2,0.22,0.07,0.15,0.0,66.7,1.59,0.07,0.04,0.19,0.04,1.56,0.3,0.01,6.74,16.48,40.9,22.44,3.04,52.1,41.6,6.78,70.5,53.4,10.19,0.44,4.4,0.59,15.1,Emiliano Viviano
Erwin Zelazny,Erwin Zelazny,0.1440384699095136,350000,2017-2018,27.0,1.86,Goalkeeper,right,Ligue 1,1.65,5.53,4.0,72.3,0.18,0.18,0.65,0.18,17.6,0.12,0.12,0.0,0.0,0.0,1.65,0.12,0.0,0.24,0.0,1.48,0.26,-0.17,6.94,20.06,34.6,23.29,2.88,55.6,44.8,7.41,96.0,65.4,13.18,1.41,10.7,0.53,15.2,Erwin Zelazny
Etrit Berisha,Etrit Berisha,0.1333281891349751,2700000,2019-2020,31.0,1.94,Goalkeeper,left,Serie A,1.69,5.46,4.08,73.2,0.19,0.12,0.69,0.12,11.5,0.23,0.23,0.0,0.0,0.0,1.69,0.23,0.04,0.08,0.08,1.7,0.28,0.08,7.54,16.92,44.5,25.0,5.23,46.0,37.4,9.0,60.3,45.9,10.58,0.81,7.6,0.54,13.6,Etrit Berisha
Etrit Berisha,Etrit Berisha,0.1654824871312635,4333333,2018-2019,30.0,1.94,Goalkeeper,left,Serie A,1.39,3.56,2.39,62.5,0.5,0.17,0.33,0.28,27.8,0.11,0.06,0.0,0.06,0.0,1.39,0.06,0.06,0.28,0.17,1.24,0.34,0.02,5.0,11.89,42.1,19.28,5.22,32.0,33.5,7.17,79.8,55.3,8.0,1.11,13.9,0.89,15.9,Etrit Berisha
Etrit Berisha,Etrit Berisha,0.1757196869760007,7000000,2017-2018,29.0,1.94,Goalkeeper,left,Serie A,1.1,3.19,2.13,66.7,0.42,0.32,0.26,0.26,25.8,0.06,0.03,0.03,0.0,50.0,1.1,0.03,0.06,0.06,0.0,0.88,0.26,-0.22,6.32,14.13,44.7,18.94,5.03,42.9,37.8,6.9,86.9,58.9,8.03,0.45,5.6,0.48,14.3,Etrit Berisha
Florian Müller,Florian Müller,0.2575644499049708,5875000,2020-2021,24.0,1.9,Goalkeeper,left,Bundesliga,1.48,4.9,3.55,71.1,0.35,0.26,0.39,0.19,19.4,0.1,0.06,0.03,0.0,33.3,1.48,0.06,0.06,0.1,0.06,1.52,0.3,0.1,6.1,18.94,32.2,34.39,4.81,36.3,36.9,8.77,73.5,57.3,7.9,0.39,4.9,0.74,15.1,Florian Müller
Florian Müller,Florian Müller,0.0681229754165937,3966666,2019-2020,23.0,1.9,Goalkeeper,left,Bundesliga,2.0,5.12,3.28,64.1,0.24,0.16,0.56,0.16,16.7,0.24,0.16,0.08,0.0,33.3,2.0,0.16,0.16,0.16,0.0,1.85,0.33,-0.15,7.04,17.2,40.9,29.04,6.16,38.3,36.6,9.52,63.9,50.2,9.28,0.64,6.9,1.12,16.1,Florian Müller
Florian Müller,Florian Müller,0.1046506499626983,6000000,2018-2019,22.0,1.9,Goalkeeper,left,Bundesliga,1.79,4.92,3.25,66.1,0.33,0.13,0.54,0.21,20.8,0.17,0.13,0.0,0.04,0.0,1.79,0.13,0.0,0.25,0.0,1.63,0.33,-0.16,7.21,18.88,38.2,25.92,4.33,47.1,41.3,8.63,77.3,58.8,9.42,0.29,3.1,0.79,15.5,Florian Müller
Fraser Forster,Fraser Gerard Forster,0.1482228413141886,15000000,2017-2018,30.0,2.01,Goalkeeper,right,Premier League,1.5,4.9,3.35,69.4,0.2,0.35,0.45,0.2,20.0,0.05,0.0,0.05,0.0,100.0,1.5,0.0,0.1,0.2,0.0,1.35,0.28,-0.16,5.25,17.75,29.6,18.2,3.2,62.1,49.2,7.35,87.8,64.2,8.15,0.45,5.5,0.35,12.4,Fraser Forster
Gerónimo Rulli,Gerónimo Rulli,0.2215581904318753,9000000,2019-2020,28.0,1.89,Goalkeeper,right,Ligue 1,1.08,4.48,3.56,78.6,0.44,0.28,0.28,0.32,32.0,0.2,0.12,0.04,0.04,25.0,1.08,0.12,0.04,0.08,0.04,1.1,0.21,0.06,8.84,16.76,52.7,27.2,5.92,42.4,37.5,8.12,64.5,49.0,9.12,0.8,8.8,1.04,16.1,Gerónimo Rulli
Gerónimo Rulli,Gerónimo Rulli,0.1783435028399204,7125000,2018-2019,27.0,1.89,Goalkeeper,right,La Liga,1.3,4.0,2.85,69.4,0.37,0.33,0.3,0.26,25.9,0.11,0.07,0.04,0.0,33.3,1.3,0.07,0.04,0.37,0.07,1.17,0.27,-0.05,6.96,16.41,42.4,31.41,4.07,35.3,35.1,7.7,69.2,52.0,11.41,1.04,9.1,0.93,16.0,Gerónimo Rulli
Gerónimo Rulli,Gerónimo Rulli,0.1004466413877,10000000,2017-2018,26.0,1.89,Goalkeeper,right,La Liga,1.73,3.88,2.35,59.4,0.38,0.19,0.42,0.23,23.1,0.19,0.15,0.04,0.0,20.0,1.73,0.15,0.08,0.19,0.04,1.4,0.32,-0.29,6.73,14.46,46.5,34.35,3.15,35.4,34.9,3.96,58.3,45.9,8.12,0.85,10.4,0.81,15.2,Gerónimo Rulli
Gianluigi Buffon,Gianluigi Buffon,0.2216541347988318,1000000,2018-2019,41.0,1.92,Goalkeeper,right,Ligue 1,1.06,3.59,2.76,72.1,0.76,0.06,0.18,0.35,35.3,0.12,0.06,0.06,0.0,50.0,1.06,0.06,0.06,0.12,0.18,1.01,0.25,0.12,2.53,4.35,58.1,17.59,4.41,13.0,23.8,6.06,34.0,35.1,6.06,0.24,3.9,0.71,15.4,Gianluigi Buffon
Gianluigi Buffon,Gianluigi Buffon,0.2731241587316282,2000000,2017-2018,40.0,1.92,Goalkeeper,right,Serie A,0.68,2.8,2.32,81.0,0.82,0.1,0.1,0.53,52.4,0.19,0.14,0.05,0.0,25.0,0.68,0.14,0.0,0.1,0.1,0.76,0.22,0.18,4.2,9.03,46.5,20.82,3.43,32.5,34.2,4.88,46.5,40.2,8.07,0.58,7.2,0.68,14.5,Gianluigi Buffon
Gianluigi Donnarumma,Gianluigi Donnarumma,0.2079563578618534,60000000,2020-2021,22.0,1.96,Goalkeeper,right,Serie A,1.03,3.38,2.43,71.2,0.65,0.16,0.19,0.38,37.8,0.11,0.05,0.03,0.03,33.3,1.03,0.05,0.05,0.19,0.03,1.07,0.3,0.07,4.95,11.65,42.5,27.73,3.78,33.2,32.3,5.92,41.1,35.9,9.05,0.78,8.7,0.59,14.8,Gianluigi Donnarumma
Gianluigi Donnarumma,Gianluigi Donnarumma,0.1864503170567647,52250000,2019-2020,21.0,1.96,Goalkeeper,right,Serie A,1.18,3.77,2.73,71.6,0.51,0.25,0.25,0.34,33.3,0.22,0.11,0.11,0.0,50.0,1.18,0.11,0.0,0.2,0.03,1.28,0.29,0.13,6.24,13.19,47.3,24.8,4.84,38.4,34.4,7.31,50.0,39.0,8.55,0.82,9.5,0.56,14.6,Gianluigi Donnarumma
Gianluigi Donnarumma,Gianluigi Donnarumma,0.2262795458411228,48333333,2018-2019,20.0,1.96,Goalkeeper,right,Serie A,0.9,3.52,2.74,76.9,0.52,0.32,0.2,0.32,30.6,0.12,0.09,0.03,0.0,25.0,0.9,0.09,0.03,0.15,0.03,1.02,0.27,0.15,5.71,10.86,52.5,25.29,5.65,27.5,30.1,8.5,45.9,39.5,10.6,0.9,8.5,0.41,13.8,Gianluigi Donnarumma
Gianluigi Donnarumma,Gianluigi Donnarumma,0.1865803472284262,40000000,2017-2018,19.0,1.96,Goalkeeper,right,Serie A,1.11,3.45,2.42,69.5,0.47,0.26,0.26,0.32,31.6,0.08,0.05,0.0,0.03,0.0,1.11,0.05,0.0,0.11,0.03,1.07,0.3,-0.01,5.05,10.58,47.8,23.47,3.58,33.0,31.5,5.11,55.7,42.2,8.03,0.61,7.5,0.37,14.4,Gianluigi Donnarumma
Gregor Kobel,Gregor Kobel,0.1917743518644404,8833333,2020-2021,24.0,1.94,Goalkeeper,right,Bundesliga,1.64,4.7,3.18,68.4,0.33,0.27,0.39,0.15,15.2,0.21,0.15,0.06,0.0,28.6,1.64,0.15,0.03,0.09,0.03,1.46,0.28,-0.14,4.18,10.21,40.9,28.48,6.06,29.5,30.1,8.36,21.7,25.3,8.55,0.61,7.1,0.52,13.3,Gregor Kobel
Hugo Lloris,Hugo Hadrien Dominique Lloris,0.2003235600684727,10000000,2020-2021,34.0,1.88,Goalkeeper,left,Premier League,1.18,3.79,2.92,75.7,0.47,0.21,0.32,0.32,31.6,0.26,0.26,0.0,0.0,0.0,1.18,0.26,0.0,0.08,0.08,1.24,0.28,0.13,5.32,12.87,41.3,21.03,4.16,46.3,37.3,7.05,44.4,36.7,9.63,0.47,4.9,0.42,13.4,Hugo Lloris
Hugo Lloris,Hugo Hadrien Dominique Lloris,0.2203440627401428,16250000,2019-2020,33.0,1.88,Goalkeeper,left,Premier League,1.05,4.63,3.69,79.6,0.55,0.3,0.2,0.3,28.6,0.15,0.1,0.05,0.0,33.3,1.05,0.1,0.0,0.1,0.05,1.36,0.27,0.36,6.62,14.94,44.3,20.87,4.08,49.9,40.7,7.42,61.1,44.1,9.41,0.55,5.8,0.2,11.4,Hugo Lloris
Hugo Lloris,Hugo Hadrien Dominique Lloris,0.2265693448785058,28333333,2018-2019,32.0,1.88,Goalkeeper,left,Premier League,1.0,3.67,2.76,75.2,0.64,0.06,0.3,0.36,36.4,0.15,0.09,0.06,0.0,40.0,1.0,0.09,0.03,0.15,0.09,1.2,0.3,0.29,6.91,14.61,47.3,28.12,4.64,37.1,36.1,7.58,55.2,46.2,8.64,0.42,4.9,0.55,14.5,Hugo Lloris
Hugo Lloris,Hugo Hadrien Dominique Lloris,0.1995015498476184,25000000,2017-2018,31.0,1.88,Goalkeeper,left,Premier League,0.97,3.22,2.28,71.6,0.61,0.19,0.19,0.42,41.7,0.08,0.06,0.03,0.0,33.3,0.97,0.06,0.03,0.22,0.0,0.99,0.29,0.02,5.72,12.44,46.0,26.08,5.28,34.5,35.7,6.36,54.1,45.3,7.69,0.72,9.4,0.86,16.4,Hugo Lloris
Jack Butland,Jack Butland,0.1590114220693622,20000000,2017-2018,25.0,1.96,Goalkeeper,right,Premier League,1.74,5.66,4.11,71.7,0.2,0.31,0.49,0.17,17.1,0.14,0.14,0.0,0.0,0.0,1.74,0.14,0.0,0.31,0.06,1.7,0.28,0.01,11.54,28.74,40.2,26.63,2.69,74.6,54.3,9.66,92.0,67.8,10.71,0.91,8.5,0.66,13.9,Jack Butland
Jan Oblak,Jan Oblak,0.2896938321728759,83333333,2020-2021,28.0,1.88,Goalkeeper,right,La Liga,0.66,3.16,2.55,80.0,0.68,0.21,0.11,0.47,47.4,0.11,0.03,0.05,0.03,66.7,0.66,0.03,0.0,0.16,0.08,0.84,0.25,0.26,7.08,16.32,43.4,18.79,3.21,59.5,44.6,7.61,67.5,50.2,8.61,0.5,5.8,0.47,15.3,Jan Oblak
