longName,wyId
Francisco Román Alarcón Suárez,3563
Ignacio Camacho Barnola,3566
Santiago Cazorla González,3567
José Luis García del Pozo,3568
Eliseu Pereira dos Santos,3570
Joaquín Sánchez Rodríguez,3571
Francisco Portillo Soler,3572
Jérémy Toulalan,3573
Juan Miguel Jiménez López,3576
José Salomón Rondón Giménez,3577
Adrián San Miguel del Castillo,3582
Beñat Etxebarria Urkiaga,3595
Jefferson Antonio Montero Vite,3599
Salva Sevilla,3602
Álvaro Vadillo,3603
Rubén Castro Martín,3604
Jorge Molina Vidal,3605
Iván Ramis Barrios,3642
Pedro Bigas Rigo,3644
Gonzalo Castro Irizábal,3645
Pablo Marí,3647
Tomás Pina Isla,3650
Abdón Prats Bastidas,3651
Tomer Hemed,3657
Claudio Andrés Bravo Muñoz,3662
Antonio Miguel Ramírez Martínez,3663
Alberto De La Bella Madureño,3667
Íñigo Martínez Berridi,3671
Carlos Martínez Díez,3672
Markel Bergara Larrañaga,3674
Asier Illarramendi Andonegi,3676
Rubén Pardo Gutiérrez,3677
Xabier Prieto Argarate,3678
David Zurutuza Veillet,3680
Imanol Agirretxe Arruti,3681
Antoine Griezmann,3682
Carlos Alberto Vela Garrido,3685
Bernardo José Espinosa Zúñiga,3692
Álvaro González Soberón,3695
Papakouli Diop,3704
Adrián  González Morales,3705
Jairo Samperio Bustara,3708
Khouma El Hadji Babacar,3710
Mamadou Koné,3711
Cristhian Ricardo Stuani Curbelo,3714
Roberto Jiménez Gago,3719
Ádám Pintér,3725
Juan Carlos Pérez López,3735
Franco Zuculini,3736
Mikel Balenziaga Oruesagasti,3750
Alberto  Bueno Calvo,3779
Edgar Badía,3784
Francisco Casilla Cortés,3785
Jordi Amat Maas,3788
Carlos Clerc,3790
Zouhair Feddal,3791
Héctor Alfredo Moreno Herrera,3795
Víctor Sánchez Mata,3797
Dídac Vilá Rosselló,3798
Philippe Coutinho Correia,3802
Sergi Darder Moll,3803
Álvaro García Vázquez,3804
Javier  López Rodríguez,3806
Vladimír Weiss,3813
Rui Fonte,3815
Sergio García De La Fuente,3816
Sergio Álvarez Conde,3821
Rubén Blanco Veiga,3822
Yoel Rodríguez Oterino,3823
Hugo Mallo Novegil,3827
Raúl Rodríguez Navas,3828
Oier Sanjurjo,3829
Iago Aspas Juncal,3840
Fabián Ariel Orellana Valenzuela,3843
Francisco José Molinero Calderón,3856
Manuel Rolando Iturra Urrutia,3866
Enrique García Martínez,3874
Borja González Tomás,3875
Leandro Daniel Cabrera Sasía,3885
Júnior Waka Lible Lago,3908
Keylor Navas Gamboa,3915
Gustavo Daniel Cabral Cáceres,3916
Iván López Mendoza,3919
Pedro López Muñoz,3920
Vicente Iborra De La Fuente,3928
Nabil El Zhar,3934
Roger Martí Salvador,3937
Aridane Hernández Umpiérrez,3943
Iván Cuéllar Sacristán,3963
Alejandro Gálvez Jimena,3970
Damián Nicolás Suárez Suárez,3974
Sergio Álvarez,3975
Óscar Guido Trejo,3987
